"California Department of Education, Title II Leadership Office",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11 Private School Affidavit Data - Schools with Enrollment of Six or More Students (August 2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affidavit ID,County,CDS Code,School ,Street,City,State,Zip,Mailing Street,Mailing City,Mailing State,Mailing Zip,Telephone,Email ,Public District,Site Admin Salutation,Site Admin First Name,Site Admin Last Name,Site Admin Title,School Type,School Accomodations,Low Grade,High Grade,Kindergarten Enrollment,Grade 1 Enrollment,Grade 2 Enrollment,Grade 3 Enrollment,Grade 4 Enrollment,Grade 5 Enrollment,Grade 6 Enrollment,Grade 7 Enrollment,Grade 8 Enrollment,Grade 9 Enrollment,Grade 10 Enrollment,Grade 11 Enrollment,Grade 12 Enrollment,Elementary Ungraded Enrollment,Secondary Ungraded Enrollment,Total Enrollment,Offers Diploma,Number of Graduates 2010,Number of Full-time Teachers,Number of Part-Time Teachers,Number of Administrative Staff,Number of Other Staff,Tax Exempt  501,Tax Exempt 23701,Tax Exempt 214,Tax Exempt,Religious Classification,Religious DenomiNot affiliated with any denomiNot affiliated with any denominationtiontion,Director/Principal Officer Salutation,Director/Principal Officer First Name,Director/Principal Officer Last Name,Director/Principal Officer Title,Director/Principal Officer Street,Director/Principal Officer City,Director/Principal Officer State,Director/Principal Officer Zip,Director/Principal Officer Email,Custodian of Records Salutation,Custodian of Records First Name,Custodian of Records Last Name,Custodian of Records Street,Custodian of Records City,Custodian of Records State,Custodian of Records Zip,Custodian of Records Email
91427,Alameda,01612596932768,Archway School- A Program of Woodsedge,250 41st Street,Oakland,CA,94611,,,,,510-547-4747,johanna@archwayschool.org,Oakland Unified,Ms.,Johanna,McCormack,Head of School,Coeducational,Day Only,K,8,2,9,5,11,14,11,11,16,13,0,0,0,0,0,0,92,No,0,10,8,5,0,Yes,No,No,Yes,Non-religious,,Ms.,Johanna,McCormack,Head of School,250 41st Street,Oakland,CA,94611,johanna@archwayschool.org,Ms.,Kym,Johnson,250 41st Street,Oakland,CA,94611,kym@archwayschool.org
89752,Alameda,01612916972574,Assumption,1851 136th Avenue,San Leandro,CA,94578,,,,,510-357-8772,plyons@csdo.org,San Leandro Unified,Ms.,Pamela,Lyons,Principal,Coeducational,Day Only,K,8,32,29,32,32,32,34,34,31,34,0,0,0,0,0,0,290,No,0,11,10,1,18,Yes,No,No,Yes,Religious,Roman Catholic,Sr.,Barbara,Bray,Superintendent,"2121 Harrison Street, Suite 100",Oakland,CA,94612,jgarcia@csdo.org,Ms.,Pamela,Lyons,1851 136th Avenue,San Leandro,CA,94578,plyons@csdo.org
95776,Alameda,01612597071632,Aurora School,40 Dulwich Road,Oakland,CA,94618,,,,,510-428-2606,darlene@auroraschool.org,Oakland Unified,Ms.,Abigayil,Koss,Executive Director,Coeducational,Day Only,K,5,24,26,22,12,14,19,0,0,0,0,0,0,0,0,0,117,No,0,6,8,5,7,Yes,No,No,Yes,Non-religious,,Ms.,Abigayil,Koss,Executive Director,40 Dulwich Road,Oakland,CA,94618,abbie@auroraschool.org,Mrs.,Darlene,Richard,40 Dulwich Road,Oakland,CA,94618,darlene@auroraschool.org
100970,Alameda,01612596141519,Bay Area Holistic Academy,4130 Telegraph Avenue,Oakland,CA,94609,50 Seabreeze Drive,Richmond,CA,94804,510-776-0660,bayareaholisticacademy@gmail.com,Oakland Unified,Mrs.,Felicia,Jeffley,Director,Coeducational,Day Only,K,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,No,0,1,4,1,0,No,No,No,No,Religious,Not affiliated with any denomination,Mrs.,Felicia,Jeffley,Director,50 Seabreeze Drive,Richmond,CA,94804,bayareaholisticacademy@gmail.com,Mrs.,Felicia,Jeffley,50 Seabreeze Drive,Richmond,CA,94804,bayareaholisticacademy@gmail.com
92051,Alameda,01612590117002,Bayhill High School,521 Boden Way,Oakland,CA,94610,,,,,510-268-1500,info@bayhillhs.org,Oakland Unified,Ms.,Rachel,Wylde,Executive Director,Coeducational,Day Only,9,12,0,0,0,0,0,0,0,0,0,12,22,16,21,0,0,71,Yes,17,7,6,6,3,Yes,No,No,Yes,Non-religious,,Ms.,Rachel,Wylde,Executive Director,521 Boden Way,Oakland,CA,94610,wylde@bayhillhs.org,Ms.,Natalie,Stephens,521 Boden Way,Oakland,CA,94610,stephens@bayhillhs.org
89648,Alameda,01611926975999,Bayside Seventh-day Adventist Christian,26400 Gading Road,Hayward,CA,94544,,,,,510-785-1313,joplin.deborah@gmail.com,Hayward Unified,Mrs.,Deborah,Joplin,Principal,Coeducational,Day Only,K,8,3,2,3,5,6,2,4,5,2,0,0,0,0,0,0,32,No,0,2,0,0,2,Yes,No,No,Yes,Religious,Seventh-day Adventists,Mrs.,Coreen,Hicks,Superintendent,401 Taylor Boulevard,Pleasant Hill,CA,94523,superintendent@nccsda.com,Mrs.,Berit,von Pohle,401 Taylor Boulevard,Pleasant Hill,CA,94523,superintendent@nccsda.com
96303,Alameda,01612596134100,Baywood Learning Center,12000 Campus Drive,Oakland,CA,94619,,,,,510-530-2800,baywoodlearningcenter@comcast.net,Oakland Unified,Ms.,Marie,Foster,Administrator,Coeducational,Day Only,K,12,2,2,4,2,2,4,2,2,4,2,2,4,1,0,0,33,Yes,0,0,10,3,1,No,No,No,No,Non-religious,,Ms.,Grace,Neufeld,Director,"4100-10 Redwood Road, Suite 293",Oakland,CA,94619,grace@baywoodlearningcenter.org,Ms.,Marie,Foster,4100-10 Redwood Road,Oakland,CA,94619,marie@baywoodlearningcenter.org
95080,Alameda,01612596928725,Beacon School,2101 Livingston Street,Oakland,CA,94606,,,,,510-436-4466,rhof@beaconday.org,Oakland Unified,Mr.,Richard,Hof,Head of School,Coeducational,Day Only,K,8,30,45,25,20,24,24,20,25,29,0,0,0,0,0,0,242,No,0,15,7,6,20,Yes,No,No,Yes,Non-religious,,Mr.,Richard,Hof,Head of School,2101 Livingston Street,Oakland,CA,94606,rhof@beaconday.org,Ms.,Alexandra,Baroni,2101 Livingston Street,Oakland,CA,94606,abaroni@beaconday.org
96121,Alameda,01612596967475,Bentley,1 Hiller Drive,Oakland,CA,94618,,,,,510-843-2512,ahogan@bentleyschool.net,Oakland Unified,Ms.,Arlene,Hogan,Head of School,Coeducational,Day Only,K,8,33,36,41,29,40,36,38,41,35,0,0,0,0,0,0,329,No,0,31,7,8,17,Yes,No,No,Yes,Non-religious,,Mr.,Duncan,Lyon,Principal,1 Hiller Drive,Oakland,CA,94619,max.kozlov@gmail.com,Ms.,Cheryl,Uyehara,1 Hiller Drive,Oakland,CA,94619,cuyehara@bentleyschool.net
91599,Alameda,01611436972723,Berkwood Hedge,1809 Bancroft Way,Berkeley,CA,94703,,,,,510-883-6990,,Berkeley Unified,Ms.,Elizabeth (Betsy),Willson,Administrator,Coeducational,Day Only,K,5,17,17,20,18,17,19,0,0,0,0,0,0,0,0,0,108,No,0,6,10,4,10,Yes,No,No,Yes,Non-religious,,Ms.,Jane,Friedman,Director,5181 Trask Street,Oakland,CA,94601,,Ms.,Elizabeth(Betsy),Willson,1809 Bancroft Way,Berkeley,CA,94703,
87194,Alameda,01611767089451,Bethel Christian Academy,36060 Fremont Boulevard,Fremont,CA,94536,,,,,510-795-1234,fremontbca@yahoo.com,Fremont Unified,Rev.,William,Kintner,Headmaster,Coeducational,Day Only,K,8,7,6,6,3,2,5,3,4,5,0,0,0,0,0,0,41,No,0,5,0,1,2,Yes,No,No,Yes,Religious,Baptist,Rev.,William,Kintner,Headmaster,36060 Fremont Boulevard,Fremont,CA,94536,,Mrs.,Angie,Savnik,36060 Fremont Boulevard,Fremont,CA,94536,fremontbca@yahoo.com
88569,Alameda,01612596932784,Bishop O'Dowd High School,9500 Stearns Avenue,Oakland,CA,94605,,,,,510-577-9100,*bishopodowd.org,Oakland Unified,Dr.,Stephen,Phelps,President,Coeducational,Day Only,9,12,0,0,0,0,0,0,0,0,0,258,280,315,276,0,0,1129,Yes,296,75,4,19,32,Yes,Yes,Yes,Yes,Religious,Roman Catholic,Mr.,Joseph,Salamack,Principal,9500 Stearns Avenue,Oakland,CA,94605,jsalamack@bishopodowd.org,Ms.,Kathy,Soller,9500 Stearns Avenue,Oakland,CA,94605,ksoller@bishopodowd.org
91664,Alameda,01611436989784,Black Pine Circle School,2134 Martin Luther King Way,Berkeley,CA,94704,,,,,510-644-1023,jcarlstroem@blackpinecircle.org,Berkeley Unified,Mr.,John,Carlstroem,Head of School,Coeducational,Day Only,K,8,12,20,22,18,20,20,39,42,39,0,0,0,0,0,0,232,No,0,30,15,7,5,Yes,No,No,Yes,Non-religious,,Mr.,John,Carlstroem,Head of School,2027 7th Street,Berkeley,CA,94710,JCarlstroem@blackpinecircle.org,Mr.,William,Shea,2027 7th Street,Berkeley,CA,94710,
87056,Alameda,01613096972624,Calvary Lutheran Elementary,17200 Via Magdalena,San Lorenzo,CA,94580,,,,,510-278-2598,mluehrs@calvaryslz.org,San Lorenzo Unified,Mrs.,Marjorie,Luehrs,Principal,Coeducational,Day Only,K,8,18,15,7,11,17,15,20,12,17,0,0,0,0,0,0,132,No,0,11,2,1,6,Yes,No,No,Yes,Religious,Lutheran,Mrs.,Marjorie,Luehrs,Principal,17200 Via Magdalena,San Lorenzo,CA,94580,mluehrs@calvaryslz.org,Mrs.,Cindy,Suppus,17200 Via Magdalena,San Lorenzo,CA,94580,csuppus@calvaryslz.org
94955,Alameda,01611506906556,Camelot School,2330 Pomar Vista Avenue,Castro Valley,CA,94546,,,,,510-481-1304,camelot_school_cv@yahoo.com,San Lorenzo Unified,Ms.,Georgina,Armstrong,President,Coeducational,Day Only,K,3,11,8,6,4,0,0,0,0,0,0,0,0,0,0,0,29,No,0,2,0,1,2,No,No,No,No,Non-religious,,Ms.,Georgina,Armstrong,President,2330 Pomar Vista Avenue,Castro Valley,CA,94546,,Ms.,Georgina,Armstrong,2330 Pomar Vista Avenue,Castro Valley,CA,94546,
91842,Alameda,01612597103377,Candell's College Preparatory School,2544 73rd Avenue,Oakland,CA,94605,,,,,510-867-0390,candell1@yahoo.com,Oakland Unified,Dr.,Terence,Candell,Executive Director,Coeducational,Day Only,K,12,1,2,1,5,5,0,1,0,3,3,3,4,6,0,0,34,Yes,6,2,0,1,0,No,No,No,No,Religious,Other,Dr.,Terence,Candell,President,3005 82nd Avenue,Oakland,CA,94605,Candell1@yahoo.com,Dr.,Terence,Candell,3005 82nd Avenue,Oakland,CA,94605,Candell1@yahoo.com
99244,Alameda,01751016977425,Carden West,4576 Willow Road,Pleasanton,CA,94588,,,,,925-463-6060,info@cardenwest.org,Pleasanton Unified,Mr.,Mark,Neal,Executive Director,Coeducational,Day Only,K,8,48,32,14,12,16,9,5,1,0,0,0,0,0,0,0,137,No,0,14,4,2,5,Yes,No,No,Yes,Non-religious,,Mr.,Mark,Neal,Principal,4576 Willow Road,Pleasanton,CA,94588,markneal@cardenwest.org,Mrs.,Kathleen,Massie,4576 Willow Road,Pleasanton,CA,94588,kmassie@cardenwest.org
91743,Alameda,01612007047467,Celebration Academy,1135 Bluebell Drive,Livermore,CA,94551,,,,,925-455-4250,cmackanic@celebrationcc.org,Livermore Valley Joint Unified,Mr.,Larry,Ihrig,Administrator,Coeducational,Day Only,1,12,0,8,5,6,11,6,6,9,4,6,3,1,4,0,0,69,Yes,0,39,0,1,2,Yes,No,No,Yes,Religious,Not affiliated with any denomination,Mrs.,Cindi,Mackanic,Director,1135 Bluebell Drive,Livermore,CA,94551,,Mrs.,Karen,Muser,1135 Bluebell Drive,Livermore,CA,94551,kamuser@comcast.net
93409,Alameda,01612347091234,Challenger - Newark,39600 Cedar Boulevard,Newark,CA,94560,,,,,510-770-1771,,Newark Unified,Ms.,Katie,Kilkenny,Director,Coeducational,Day Only,K,K,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,No,0,2,0,1,2,No,No,No,No,Non-religious,,Mr.,Dave,Mounteer,Executive Director,"900 East Hamilton Avenue, Suite 330",Campbell,CA,95008,,Ms.,Katie,Kilkenny,39600 Cedar Boulevard,Newark,CA,94587,
93391,Alameda,01612347055411,Challenger–Ardenwood,35487 Dumbarton Court,Newark,CA,94560,,,,,510-739-0300,,Newark Unified,Mr.,Joey,Morrison,Headmaster,Coeducational,Day Only,K,8,149,133,116,95,82,76,63,51,45,0,0,0,0,0,0,810,No,0,41,2,3,27,No,No,No,No,Non-religious,,Mr.,Dave,Mounteer,Executive Director,"900 East Hamilton Avenue, Suite 330",Campbell,CA,95008,,Mr.,Joey,Morrison,35487 Dumbarton Court,Newark,CA,94587,
89104,Alameda,01611197094865,Children's Learning Center,2152 Central Avenue,Alameda,CA,94501,1910 Central Avenue,Alameda,CA,94501,510-769-7100,khayes@clcalameda.com,Alameda City Unified,Ms.,Kathleen,Hayes,Director,Coeducational,Day Only,K,5,0,0,3,6,7,2,0,0,0,0,0,0,0,0,0,18,No,0,3,0,1,8,Yes,Yes,Yes,Yes,Non-religious,,Mr.,Gus,Psara,Executive Director,1910 Central Avenue,Alameda,CA,94501,tborrell@clcalameda.com,Ms.,Tina,Borrell,1910 Central Avenue,Alameda,CA,94501,tborrell@clcalameda.com
89220,Alameda,01611196979140,Children's Learning Center,1910 Central Avenue,Alameda,CA,94501,,,,,510-769-7100,tborrell@clcalameda.com,Alameda City Unified,Mr.,Gus,Psara,Executive Director,Coeducational,Day Only,6,12,0,0,0,0,0,0,12,9,8,10,7,9,7,0,0,62,Yes,2,5,0,3,19,Yes,Yes,Yes,Yes,Non-religious,,Ms.,Tina,Borrell,Administrator,1910 Central Avenue,Alameda,CA,94501,tborrell@clcalameda.com,Ms.,Tina,Borrell,1910 Central Avenue,Alameda,CA,94501,tborrell@clcalameda.com
92404,Alameda,01611196139018,Chinese American Schools - Alameda,1501 Harbor Bay Parkway,Alameda,CA,94502,,,,,510-814-7321,info@casalameda.org,Alameda City Unified,Dr.,Richard,Porter,Principal,Coeducational,Day Only,6,12,0,0,0,0,0,0,0,1,1,1,13,8,7,0,0,31,No,0,0,3,1,1,Yes,Yes,Yes,Yes,Non-religious,,Mr.,Robin,Hom,Superintendent,750 Fargo Avenue,San Leandro,CA,94579,RobinHom@aol.com,Dr.,Richard,Porter,1501 Harbor Bay Parkway,Alameda,CA,94502,RichardPorter@casalameda.org
92211,Alameda,01611196204697,Chinese Christian Schools–Alameda,1801 North Loop Road,Alameda,CA,94502,14973 Riverdale Street,San Leandro,CA,94578,510-522-0200,ccsalameda@ccs-rams.org,Alameda City Unified,Mrs.,Annie,How,,Coeducational,Day Only,K,8,21,21,23,23,24,25,19,17,21,0,0,0,0,0,0,194,No,0,20,2,4,6,Yes,Yes,Yes,Yes,Religious,Not affiliated with any denomination,Mr.,Robin,Hom,Superintendent,750 Fargo Avenue,San Leandro,CA,94579,RobinHom@aol.com,Mrs.,Cindy,Loh,750 Fargo Avenue,San Leandro,CA,94579,cindyloh@aol.com
91437,Alameda,01613096932800,Chinese Christian Schools–San Leandro,750 Fargo Avenue,San Leandro,CA,94579,,,,,510-351-4957,info@ccs-rams.org,San Lorenzo Unified,Dr.,Alan,Chew,Director,Coeducational,Day Only,K,12,44,50,46,42,46,40,30,33,38,48,62,50,53,0,0,582,Yes,59,65,3,10,25,Yes,Yes,Yes,Yes,Religious,Not affiliated with any denomination,Mr.,Robin,Hom,Superintendent,750 Fargo Avenue,San Leandro,CA,94579,RobinHom@aol.com,Mrs.,Cindy,Loh,750 Fargo Avenue,San Leandro,CA,94579,CindyLoh@ccs-rams.org
90605,Alameda,01611766922389,Christian Community Schools,39700 Mission Boulevard,Fremont,CA,94539,,,,,510-651-5437,tsevilla@gofcc.org,Fremont Unified,Mrs.,Tina,Sevilla,Administrator,Coeducational,Day Only,K,8,22,30,29,22,22,28,28,25,14,0,0,0,0,0,0,220,No,0,15,3,4,10,Yes,No,No,Yes,Religious,Not affiliated with any denomination,Mr.,Kevin,Hom,President,39700 Mission Boulevard,Fremont,CA,94539,,Mrs.,Tina,Sevilla,39700 Mission Boulevard,Fremont,CA,94539,tsevilla@gofcc.org
95856,Alameda,01612596140735,Cornerstone Christian Academy,3535 38th Avenue,Oakland,CA,94619,,,,,510-530-9166,net95@aol.com,Oakland Unified,Ms.,Tammy,Bratcher,Administrator,Coeducational,Day Only,K,12,1,1,0,0,0,0,0,3,0,1,0,0,0,0,0,6,No,0,2,2,1,1,Yes,No,No,Yes,Religious,Baptist,Dr.,Lester,"Cannon, Sr.",Executive Director,3535 38th Avenue,Oakland,CA,94619,net95@aol.com,Ms.,Jazmyne,Turner,3535-38th Avenue,Oakland,CA,94619,net95@aol.com
89373,Alameda,01612756972632,Corpus Christi Elementary,1 Estates Drive,Piedmont,CA,94611,,,,,510-530-4056,kmurphy@csdo.org,Piedmont City Unified,Ms.,Kathleen,Murphy,Principal,Coeducational,Day Only,K,8,29,29,30,32,32,32,30,29,28,0,0,0,0,0,0,271,No,0,11,3,2,15,Yes,Yes,Yes,Yes,Religious,Roman Catholic,Ms.,Kathleen,Murphy,Principal,1 Estates Drive,Piedmont,CA,94611,kmurphy@csdo.org,Ms.,Kathleen,Murphy,1 Estates Drive,Piedmont,CA,94611,kmurphy@csdo.org
99178,Alameda,01611436928766,"Crowden School, The",1475 Rose Street,Berkeley,CA,94702-1255,,,,,510-559-6910,*crowden.org,Berkeley Unified,Ms.,Doris,Fukawa,Executive Director,Coeducational,Day Only,4,8,0,0,0,0,9,12,11,12,9,0,0,0,0,0,0,53,No,0,0,33,4,3,Yes,No,No,Yes,Non-religious,,Mr.,Jacob,Pak,Other,1475 Rose Street,Berkeley,CA,94702,jacobpak@yahoo.com,Ms.,Debra,Mauro,1475 Rose Street,Berkeley,CA,94702,dmauro@crowden.org
94164,Alameda,01611767047202,Dominican Kindergarten,43326 Mission Boulevard,Fremont,CA,94539,,,,,510-651-7978,sj@dkmsj.org,Fremont Unified,Sr.,Jane Marie,Estoesta,Director,Coeducational,Day Only,K,K,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,No,0,1,2,1,1,Yes,Yes,Yes,Yes,Religious,Roman Catholic,Sr.,Jane Marie,Estoesta,Director,43326 Mission Blvd,Fremont,CA,94539,sj@dkmsj.org,Sr.,Jane Marie,Estoesta,43326 Mission Boulevard,Fremont,CA,94539,sj@dkmsj.org
99502,Alameda,01612597095292,Dr. Herbert Guice Christian Academy,6925 International Boulevard,Oakland,CA,94621,,,,,510-729-0330,cthompson@guiceacademy.org,Oakland Unified,Dr.,Clifford,Thompson,Director,Coeducational,Day Only,K,6,11,9,7,5,7,2,3,0,0,0,0,0,0,0,0,44,No,0,4,4,1,5,Yes,No,No,Yes,Religious,Other,Dr.,Clifford,Thompson,Director,6925 International Boulevard,Oakland,CA,94621,cthompson@guiceacademy.org,Ms.,Della,Wilson,6925 International Boulevard,Oakland,CA,94621,cthompson@guiceacademy.org
101355,Alameda,01611436141709,East Bay School for Boys,1798 Scenic Avenue,Berkeley,CA,94709,,,,,510-849-8190,info@ebsfb.org,Berkeley Unified,,Jason,Baeten,Head of School,Boys Only,Day Only,6,6,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,17,No,0,2,2,1,3,Yes,Yes,No,Yes,Non-religious,,,Jason,Baeten,Head of School,1798 Scenic Avenue,Berkeley,CA,94709,jasonb@ebsfb.org,,Jason,Baeten,1798 Scenic Avenue,Berkeley,CA,94709,jasonb@ebsfb.org
97165,Alameda,01611436900757,Ecole Bilingue De Berkeley,1009 Heinz Avenue,Berkeley,CA,94710-2718,,,,,510-549-3867,contact@eb.org,Berkeley Unified,Mr.,Frédéric,Canadas,Head of School,Coeducational,Day Only,K,8,67,60,64,46,53,44,43,35,37,0,0,0,0,0,0,449,No,0,45,5,8,35,Yes,No,No,Yes,Non-religious,,Mrs.,Lynn,Van Housen,President,1009 Heinz Avenue,Berkeley,CA,94710,fcanadas@eb.org,Mr.,Doug,Mann,1009 Heinz Avenue,Berkeley,CA,94710,dmann@eb.org
