California Department of Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private School Directory 2009-10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"February 1, 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Enrollment,Enrollment,,,,,,,Site,Site,Site,Site,,,,,High,Number of,,,,,,,,,,,Special,Custodian,Custodian,Custodian,Custodian,Custodian,Custodian,Custodian,Custodian
73318,Alameda,Assumption,San Leandro Unified,01612916972574,510,357,8772,1851 136th Avenue,San Leandro,CA,94578,plyons@csdo.org,32,33,25,30,32,34,33,33,30,0,0,0,0,0,0,282, ,,,,,Ms.,Pamela,Lyons,Principal,Coeducational,Day Only,K,8,No,0,11,9,1,18,Yes,No,No,No,Religious,CATH,Yes,Ms.,Pamela,Lyons,1851 136th Avenue,San Leandro,CA,94582,plyons@csdo.org
78820,Alameda,Aurora School,Oakland Unified,01612597071632,510,428,2606,40 Dulwich Road,Oakland,CA,94618,darlene@auroraschool.org,21,20,13,19,20,15,0,0,0,0,0,0,0,0,0,108, ,,,,,Mrs.,Abigayil,Koss,Head of School,Coeducational,Day Only,K,5,No,0,7,6,4,12,Yes,No,No,No,Non-religious,,No,Mrs.,Darlene,Richard,40 Dulwich Road,Oakland,CA,94618,darlene@auroraschool.org
76619,Alameda,Bayhill High School,Oakland Unified,01612590117002,510,268,1500,521 Boden Way,Oakland,CA,94610,info@bayhillhs.org,0,0,0,0,0,0,0,0,0,14,16,22,19,0,0,71, ,,,,,Ms.,Rachel,Wylde,Executive Director,Coeducational,Day Only,9,12,Yes,21,7,6,5,7,Yes,No,No,No,Non-religious,,Yes,Ms.,Denise,Ihrig,521 Boden Way,Oakland,CA,94610,ihrig@bayhillhs.org
76038,Alameda,Bayside Seventh-day Adventist Christian,Hayward Unified,01611926975999,510,785,1313,26400 Gading Road,Hayward,CA,94544,joplin.deborah@gmail.com,1,3,5,5,3,3,5,3,5,0,0,0,0,0,0,33, ,,,,,Mrs.,Deborah,Joplin,Principal,Coeducational,Day Only,K,8,No,0,2,0,0,3,Yes,No,No,No,Religious,SDA,No,Mrs.,Berit,von Pohle,401 Taylor Boulevard,Pleasant Hill,CA,94523,bvonpohle@nccsda.com
85627,Alameda,Baywood Learning Center,Oakland Unified,01612596134100,510,531,8100,12000 Campus Drive,Oakland,CA,94619,baywoodlearningcenter@comcast.net,3,4,0,0,2,0,0,0,0,2,0,3,0,0,0,14,4100-10 Redwood Road,Oakland,CA,94619,,Ms.,Grace,Neufeld,Director,Coeducational,Day Only,K,12,No,0,4,2,1,0,Yes,No,No,No,Non-religious,,No,Mrs.,Susan,Taite,"4100-10 Redwood Road, Department 293",Oakland,CA,94619,susan@baywoodlearningcenter.org
80924,Alameda,Beacon School,Oakland Unified,01612596928725,510,436,4466,2101 Livingston Street,Oakland,CA,94606,rhof@beaconday.org,23,25,18,23,25,19,28,31,16,0,0,0,0,0,0,208, ,,,,,Mr.,Richard,Hof,Head of School,Coeducational,Day Only,K,8,No,0,16,0,5,26,Yes,No,No,No,Non-religious,,No,Ms.,Alexandra,Baroni,2101 Livingston Street,Oakland,CA,94606,
77421,Alameda,Bentley,Oakland Unified,01612596967475,510,843,2512,1 Hiller Drive ,Oakland,CA,94618,ahogan@bentleyschool.net,39,41,35,39,37,38,38,38,40,0,0,0,0,0,0,345, ,,,,,Ms.,Arlene,Hogan,Head of School,Coeducational,Day Only,K,8,No,0,29,10,6,27,Yes,No,No,No,Non-religious,,No,Ms.,Cheryl,Uyehara,1 Hiller Drive ,Oakland,CA,94618,cuyehara@bentleyschool.net
74926,Alameda,Berkwood Hedge,Berkeley Unified,01611436972723,510,883,6990,1809 Bancroft Way,Berkeley,CA,94703,,18,20,18,18,19,16,0,0,0,0,0,0,0,0,0,109, ,,,,,Ms.,Jane,Friedman,Director,Coeducational,Day Only,K,5,No,0,5,19,4,1,Yes,No,No,No,Non-religious,,No,Ms.,Betsy,Willson,1809 Bancroft Way,Berkeley,CA,94703,
84430,Alameda,Bethel Christian Academy,Fremont Unified,01611767089451,510,795,1234,36060 Fremont Boulevard,Fremont,CA,94536,fremontbca@yahoo.com,4,8,3,2,5,7,3,5,6,0,0,0,0,0,0,43,,,,,Christian Heritage Academy,Mr.,William,Kintner,Headmaster,Coeducational,Day Only,K,8,Yes,0,5,0,1,2,Yes,No,Yes,No,Religious,BAPT,No,Ms.,Angie,Savnik,36060 Fremont Boulevard,Fremont,CA,94536,fremontbca@yahoo.com
76565,Alameda,Bishop O'Dowd High School,Oakland Unified,01612596932784,510,577,9100,9500 Stearns Avenue,Oakland,CA,94605,bishopodowd.org,0,0,0,0,0,0,0,0,0,290,320,290,300,0,0,1200, ,,,,,Dr.,Stephen,Phelps,President,Coeducational,Day Only,9,12,Yes,261,74,6,20,32,Yes,Yes,Yes,No,Religious,CATH,No,Mrs.,Kathy,Soller,9500 Stearns Avenue,Oakland,CA,94605,ksoller@bishopodowd.org
76573,Alameda,Black Pine Circle School,Berkeley Unified,01611436989784,510,644,1023,2027 Seventh Street,Berkeley,CA,94710-2091,JCarlstroem@BlackPineCircle.org,19,21,17,22,22,20,40,40,38,0,0,0,0,0,0,239, ,,,,,Mr.,John ,Carlstroem,Head of School,Coeducational,Day Only,K,8,No,0,22,15,10,8,Yes,No,No,No,Non-religious,,No,Mr.,William,Shea,2027 Seventh Street,Berkeley,CA,94710,BShea@BlackPineCircle.org
79721,Alameda,Bridgemount Academy,Oakland Unified,01612596998397,510,652,6800,3612 Webster Street,Oakland,CA,94609,ba@bridgemountacademy.org,3,6,3,3,6,5,0,0,0,0,0,0,0,0,0,26,4096 Piedmont Avenue,Oakland,CA,94611,,Ms.,Lisa,Hopkins,Director,Coeducational,Day Only,K,5,No,0,3,0,2,1,Yes,No,No,No,Non-religious,,No,Ms.,Lisa,Hopkins,3612 Webster Street,Oakland,CA,94609,lhopkins@bridgemountacademy.org
73664,Alameda,Calvary Lutheran Elementary,San Lorenzo Unified,01613096972624,510,278,2598,17200 Via Magdalena ,San Lorenzo,CA,94580,tpackard@calvaryslz.org,11,10,13,14,14,20,19,18,12,0,0,0,0,0,0,131, ,,,,,Mrs.,Trudy,Packard,Principal,Coeducational,Day Only,K,8,No,0,11,2,1,6,Yes,No,No,No,Religious,LUTH,No,Mrs.,Joyce,Strom,17200 Via Magdalena ,San Lorenzo,CA,94580,jstrom@calvaryslz.org
77356,Alameda,Camelot School,San Lorenzo Unified,01611506906556,510,481,1304,2330 Pomar Vista ,Castro Valley,CA,94546,camelot_school_cv@yahoo.com,19,16,7,11,10,7,0,0,0,0,0,0,0,0,0,70, ,,,,,Ms.,Georgina,Armstrong,Administrator,Coeducational,Day Only,K,5,No,0,5,0,1,1,No,No,No,Yes,Non-religious,,No,Ms.,Winnie,Wong,2330 Pomar Vista ,Castro Valley,CA,94546,camelot_school_cv@yahoo.com
75456,Alameda,Candell's College Preparatory School,Oakland Unified,01612597103377,510,867,0390,2544-73rd Avenue,Oakland,CA,94605,Candell_@excite.com,2,3,6,5,1,0,1,4,2,4,6,5,8,0,0,47,2544-73rd Avenue,Oakland,CA,94605,,Dr.,Terence,Candell,Executive Director,Coeducational,Day Only,K,12,Yes,12,3,2,1,0,No,No,No,Yes,Religious,Other,No,Dr.,Terence,Candell,9050 McGurrin Road,Oakland,CA,94605,Candell_@excite.com
83223,Alameda,Canon Academy,Pleasanton Unified,01751016131221,925,485,4530,2562 Skimmer Court,Pleasanton,CA,94566,canonacademy@comcast.net,0,0,1,2,0,2,0,1,1,0,0,0,0,0,0,7,P.O. Box 1527 ,Pleasanton,CA,94566-0152,,Mr.,Jason,Bennett,Director,Coeducational,Day Only,1,12,Yes,0,3,0,1,0,No,No,No,Yes,Religious,NA,No,Mrs.,Daisy,Bennett,2562 Skimmer Court,Pleasanton,CA,94566,canonacademy@comcast.net
83714,Alameda,Carden West,Pleasanton Unified,01751016977425,925,463,6060,4576 Willow Road,Pleasanton,CA,94588,info@cardenwest.org,36,15,15,12,9,6,1,0,0,0,0,0,0,0,0,94, ,,,,,Dr.,Mark,Silzer,Executive Director,Coeducational,Day Only,K,6,No,0,10,2,2,3,Yes,No,No,No,Non-religious,,No,Mrs.,Kathleen,Massie,4576 Willow Road,Pleasanton,CA,94588,kmassie@cardenwest.org
82300,Alameda,Celebration Academy,Livermore Valley Joint Unified,01612007047467,925,455,4250,1135 Bluebell Drive,Livermore,CA,94551,cmackanic@celebrationcc.org,0,7,9,9,6,6,11,2,7,3,1,4,1,0,0,66, ,,,,,Mr.,Larry,Ihrig,Administrator,Coeducational,Day Only,1,12,Yes,2,38,0,1,2,Yes,No,No,No,Religious,NA,No,Mrs.,Karen,Muser,1135 Bluebell Drive,Livermore,CA,94551,kamuser@comcast.net
81479,Alameda,Challenger - Newark,Newark Unified,01612347091234,510,770,1771,39600 Cedar Boulevard,Newark,CA,94560,,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43, ,,,,,Mrs.,Maria,Jayne,Director,Coeducational,Day Only,K,K,No,0,2,0,1,3,No,No,No,Yes,Non-religious,,No,Mrs.,Maria,Jayne,39600 Cedar Boulevard,Newark,CA,94560,
81443,Alameda,Challenger–Ardenwood,Newark Unified,01612347055411,510,739,0300,35487 Dumbarton Court,Newark,CA,94560,,132,138,124,104,80,73,57,49,49,0,0,0,0,0,0,806, ,,,,,Mr.,Joey,Morrison,Headmaster,Coeducational,Day Only,K,8,No,0,41,1,3,24,No,No,No,Yes,Non-religious,,No,Mr.,Joey,Morrison,35487 Dumbarton Court,Newark,CA,94560,
81145,Alameda,Children's Learning Center,Alameda City Unified,01611196979140,510,769,7100,1910 Central Avenue ,Alameda,CA,94501,pdilks@clcalameda.com,0,0,0,0,0,0,6,6,8,9,8,10,7,0,0,54, ,,,,,Mr.,Gus,Psara,Executive Director,Coeducational,Day Only,6,12,Yes,3,6,0,3,18,Yes,Yes,Yes,No,Non-religious,,Yes,Ms.,Patricia,Dilks,1910 Central Avenue ,Alameda,CA,94501,pdilks@clcalameda.com
81110,Alameda,Children's Learning Center,Alameda City Unified,01611197094865,510,769,7100,2152 Central Avenue ,Alameda,CA,94501,khayes@clcalameda.com,0,3,3,4,4,3,0,0,0,0,0,0,0,0,0,17,1910 Central Avenue ,Alameda,CA,94501,,Ms.,Kathleen,Hayes,Director,Coeducational,Day Only,K,5,No,0,3,0,1,7,Yes,Yes,Yes,No,Non-religious,,No,Ms.,Patricia,Dilks,1910 Central Avenue ,Alameda,CA,94501,pdilks@clcalameda.com
84119,Alameda,Chinese American Schools - Alameda,Alameda City Unified,01611196139018,510,814,7321,"1501 Harbor Bay Parkway, Suite 200",Alameda,CA,94502,info@casalameda.org,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,7, ,,,,,Mr.,Robin,Hom,Superintendent,Coeducational,Day Only,9,12,Yes,0,0,3,1,1,Yes,Yes,Yes,No,Non-religious,,No,Dr.,Richard,Porter,"1501 Harbor Bay Parkway, Suite 200",Alameda,CA,94502,RichardPorter@casalameda.org
76716,Alameda,Chinese Christian Schools–Alameda,Alameda City Unified,01611196204697,510,522,0200,1801 North Loop Road,Alameda,CA,94502,ccsalameda@ccs-rams.org,24,24,28,25,32,23,24,20,15,0,0,0,0,0,0,215, ,,,,,Mr.,Robin,Hom,Superintendent,Coeducational,Day Only,K,8,No,0,13,4,4,7,Yes,Yes,Yes,No,Religious,NA,No,Mrs.,Julianna,Wong,1801 North Loop Road,Alameda,CA,94502,JuliannaWong@ccs-rams.org
76662,Alameda,Chinese Christian Schools–San Leandro,San Lorenzo Unified,01613096932800,510,351,4957,750 Fargo Avenue,San Leandro,CA,94579,info@ccs-rams.org,48,47,39,47,49,38,39,39,55,56,55,53,61,0,0,626, ,,,,,Mr.,Robin,Hom,Superintendent,Coeducational,Day Only,K,12,Yes,62,55,3,11,13,Yes,Yes,Yes,No,Religious,NA,No,Mrs.,Jane,Siu,750 Fargo Avenue,San Leandro,CA,94579,JaneSiu@ccs-rams.org
80165,Alameda,Christian Community Schools,Fremont Unified,01611766922389,510,651,5437,39700 Mission Boulevard,Fremont,CA,94539,tsevilla@gofcc.org,39,28,27,28,34,32,31,19,32,0,0,0,0,0,0,270, ,,,,,Mrs.,Tina,Sevilla,Administrator,Coeducational,Day Only,K,8,No,0,14,3,4,17,Yes,No,No,No,Religious,NA,Yes,Mrs.,Tina,Sevilla,39700 Mission Boulevard,Fremont,CA,94539,tsevilla@gofcc.org
80164,Alameda,"College Preparatory, The",Oakland Unified,01612596932818,510,652,0111,6100 Broadway Street,Oakland,CA,94618,murray@college-prep.org,0,0,0,0,0,0,0,0,0,88,92,90,86,0,0,356, ,,,,,Ms.,Graciela,Benito,Director,Coeducational,Day Only,9,12,Yes,86,40,13,13,16,Yes,No,No,No,Non-religious,,No,Ms.,Janet,Walt,6100 Broadway Street,Oakland,CA,94618,jan_walt@college-prep.org
80127,Alameda,Corpus Christi Elementary,Piedmont City Unified,01612756972632,510,530,4056,One Estates Drive,Piedmont,CA,94611,kmurphy@csdo.org,28,32,33,32,32,31,29,28,32,0,0,0,0,0,0,277, ,,,,,Ms.,Kathleen,Murphy,Principal,Coeducational,Day Only,K,8,No,0,11,3,2,16,Yes,Yes,Yes,No,Religious,CATH,Yes,Ms.,Kathleen,Murphy,One Estates Drive,Piedmont,CA,94611,kmurphy@csdo.org
80043,Alameda,"Crowden School, The",Berkeley Unified,01611436928766,510,559,6910,1475 Rose Street,Berkeley,CA,94702-1255,crowden.org,0,0,0,0,8,9,15,10,13,0,0,0,0,0,0,55, ,,,,,Ms.,Doris ,Fukawa,Executive Director,Coeducational,Day Only,4,8,No,0,1,25,6,3,Yes,No,No,No,Non-religious,,No,Ms.,Debra,Mauro,1475 Rose ,Berkeley,CA,94702,dmauro@crowden.org
77604,Alameda,Del Rio Academy,Out of State,77764220113845,505,866,9271,79 Romero Road,Los Lunas,NM,87031,sandhillcenter.org,0,0,1,2,2,5,4,10,6,2,0,0,0,0,0,32, ,,,,Sandhill Center,Mr.,Daniel,Laney,Headmaster,Coeducational,Both,1,9,No,0,3,1,1,11,No,No,No,Yes,Non-religious,,Yes,Mr.,Daniel,Laney,79 Romero Road,Los Lunas,NM,87031,dlaney@sandhillcenter.org
83778,Alameda,Dominican Kindergarten,Fremont Unified,01611767047202,510,651,7978,43326 Mission Boulevard,Fremont,CA,94539,sjanemarie@aol.com,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36, ,,,,,Sr.,Jane Marie,Estoesta,Director,Coeducational,Day Only,K,2,No,0,1,6,1,1,Yes,No,No,No,Religious,CATH,No,Sr.,Jane Marie,Estoesta,43326 Mission Boulevard,Fremont,CA,94539,sjanemarie@aol.com
75955,Alameda,Dr. Herbert Guice Christian Academy,Oakland Unified,01612597095292,510,729,0330,6925 International Boulevard,Oakland,CA,94621,cthompson@guiceacademy.org,7,7,5,7,7,7,4,0,0,0,0,0,0,0,0,44, ,,,,,Dr.,Clifford,Thompson,Director,Coeducational,Day Only,K,6,No,0,4,3,1,5,Yes,No,No,No,Non-religious,,No,Ms.,Della,Wilson,6925 International Boulevard,Oakland,CA,94621,dwilson@guiceacademy.org
77428,Alameda,Ecole Bilingue De Berkeley,Berkeley Unified,01611436900757,510,549,3867,1009 Heinz Avenue,Berkeley,CA,94710-2718,contact@eb.org,69,66,52,58,52,47,38,38,24,0,0,0,0,0,0,444, ,,,,East Bay French-American School,Mr.,Frederic,Canadas,Head of School,Coeducational,Day Only,K,8,No,0,41,7,8,32,Yes,No,No,No,Non-religious,,No,Mr.,Doug,Mann,1009 Heinz ,Berkeley,CA,94710,dmann@eb.org
72814,Alameda,Escuela Bilingüe Internacional,Oakland Unified,01612596138184,510,653,3324,410 Alcatraz Avenue,Oakland,CA,94609,jfulk@ebinternacional.org,33,29,6,6,0,0,0,0,0,0,0,0,0,0,0,74, ,,,,,Mr.,Jon,Fulk,Head of School,Coeducational,Day Only,K,3,No,0,5,0,0,6,Yes,Yes,No,No,Non-religious,,No,Ms.,Gloria,Costas,410 Alcatraz Ave ,Oakland,CA,94609,gcostas@ebinternacional.org
83703,Alameda,Fred Finch–Oakland Hills Academy,Oakland Unified,01612596909832,510,482,2244,3800 Coolidge Avenue,Oakland,CA,94602-3399,marsmith@fredfinch.org,0,0,0,0,0,0,0,2,3,1,0,1,3,0,0,10, ,,,,,Ms.,Mar ,Smith,Director,Coeducational,Day Only,7,12,No,0,2,0,1,68,Yes,No,No,No,Non-religious,,Yes,Miss,Laura,Lemus,3800 Coolidge Avenue,Oakland,CA,94602,lauralemus@fredfinch.org
80151,Alameda,Fremont Christian School,Fremont Unified,01611766909840,510,744,2233,4760 Thornton Avenue,Fremont,CA,94536,TMeyer@fremontchristian.com,70,80,79,75,76,87,75,86,82,67,63,62,74,0,0,976, ,,,,,Rev.,C. K.,Rankin,Superintendent,Coeducational,Day Only,K,12,Yes,57,44,6,6,26,Yes,No,No,No,Religious,AG,Yes,Mrs.,Susan,DeGuzman,4760 Thornton Avenue,Fremont,CA,94536,Susan@fremontchristian.com
85244,Alameda,Global Montessori International School,Berkeley Unified,01611436139273,510,845,6969,2314 Bancroft Way,Berkeley,CA,94704,globalmontessori@sbcglobal.net,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,7, ,,,,,Ms.,Melissa,Chan,Administrator,Coeducational,Day Only,K,6,No,0,2,1,2,0,Yes,No,No,No,Non-religious,,No,Ms.,Melissa,Chan,2314 Bancroft Way,Berkeley,CA,94704,globalmontessori@sbcglobal.net
85063,Alameda,Grace Academy,Hayward Unified,01611926132690,510,786,1289,380 Elmhurst Street,Hayward,CA,94544,Elmhurstlc@cs.com,16,8,3,4,0,0,0,0,0,0,0,0,0,0,0,31, ,,,,,Rev.,Marilyn,Escoto,Executive Director,Coeducational,Day Only,K,3,No,0,1,1,1,1,Yes,No,No,No,Religious,BAPT,No,Ms.,Cheryl,Roman,380 Elmhurst Street,Hayward,CA,94544,Elmhurstlc@cs.com
82215,Alameda,Grand Lake Montessori,Oakland Unified,01612597071970,510,836,4313,466 Chetwood Street,Oakland,CA,94610,grandlakemontessori.com,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12, ,,,,,Mrs.,Helen,Campbell,Head of School,Coeducational,Day Only,K,K,No,0,8,1,1,3,Yes,No,No,No,Non-religious,,No,Ms.,Nancy,Haskins,215 Linda Avenue,Piedmont,CA,94611,nancy@grandlakemontessori.com
77219,Alameda,Growing Light Montessori,Oakland Unified,01612597083397,510,336,9897,4700 Lincoln Avenue,Oakland,CA,94602,growinglight@mac.com,21,1,2,2,0,0,0,0,0,0,0,0,0,0,0,26, ,,,,,Mrs.,Darlene,Low,Other,Coeducational,Day Only,K,3,No,0,3,1,3,1,No,No,No,Yes,Non-religious,,No,Ms.,Rachel,LaField,4700 Lincoln Avenue,Oakland ,CA,94602,growinglight@mac.com
80212,Alameda,Hacienda School,Pleasanton Unified,01751017082761,925,485,5750,3800 Stoneridge Drive,Pleasanton,CA,94588,jcamara@headsup.org,0,10,10,8,10,8,0,4,1,0,0,0,0,0,0,51, ,,,,,Mrs.,Jo Anne,Camara,Director,Coeducational,Day Only,1,8,No,0,7,4,3,0,No,No,No,Yes,Non-religious,,No,Mrs.,Jo Anne ,Camara,3800 Stoneridge Drive,Pleasanton,CA,94588,jcamara@headsup.org
83483,Alameda,Head-Royce School,Oakland Unified,01612596932925,510,531,1300,4315 Lincoln Avenue ,Oakland,CA,94602,acrabbe@headroyce.org,39,39,41,42,37,42,79,74,75,83,85,79,85,0,0,800, ,,,,,Mr.,Andrei,Ferrera,Administrator,Coeducational,Day Only,K,12,Yes,80,137,0,15,21,Yes,No,No,No,Non-religious,,No,Ms.,Cathy,Epstein,4315 Lincoln Avenue ,Oakland,CA,94602,cepstein@headroyce.org
77580,Alameda,Hillview Christian Academy,Pleasanton Unified,01751017085970,925,461,3210,5492 Greenfield Way,Pleasanton,CA,94566,,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,6, ,,,,,Mr.,Steven,Collard,Administrator,Coeducational,Day Only,1,12,Yes,0,3,0,1,0,No,No,No,Yes,Non-religious,,No,Ms.,Sharon,Collard,5492 Greenfield Way,Pleasanton,CA,94566,
72645,Alameda,Holy Names High School,Oakland Unified,01612596932941,510,450,1110,4660 Harbord Drive,Oakland,CA,94618,hnhsoakland.org,0,0,0,0,0,0,0,0,0,57,42,38,60,0,0,197, ,,,,,Sr.,Sally,Slyngstad,Principal,Girls Only,Day Only,9,12,Yes,59,14,9,5,12,Yes,No,No,No,Religious,CATH,No,Ms.,Joanne,Romeo,4660 Harbord Drive,Oakland,CA,94618,jromeo@hnhsoakalnd.org
73705,Alameda,Holy Spirit Elementary,Fremont Unified,01611766972731,510,793,3553,3930 Parish Avenue,Fremont,CA,94536,hss@me.com,34,32,35,32,36,33,31,36,34,0,0,0,0,0,0,303, ,,,,,Mrs.,Susan,Buchanan,Principal,Coeducational,Day Only,K,8,No,0,10,1,1,15,Yes,No,No,No,Religious,CATH,No,Mrs.,Susan,Buchanan,3930 Parish Avenue,Fremont,CA,94536,sbuchanan@csdo.org
84201,Alameda,Ile Omode,Oakland Unified,01612597072606,510,632,8230,8924 Holly Street,Oakland,CA,94621,BabaJahi@ileomode.org,10,7,7,6,8,8,5,4,3,0,0,0,0,0,0,58, ,,,,,Mrs.,Kelly,Kouyate,Other,Coeducational,Day Only,K,8,No,0,8,4,1,2,Yes,No,No,No,Non-religious,,No,Mrs.,Kelly,Kouyate,8924 Holly Street,Oakland,CA,94621,Kelly.Kouyate@ileomode.org
81043,Alameda,International Bible Baptist Academy,San Lorenzo Unified,01612917092612,510,276,4222,15963 Marcella Street ,San Leandro,CA,94578,ibbcoffice@ibbcministries.org,2,7,5,6,2,2,2,1,1,2,0,1,1,0,0,32, ,,,,,Dr.,Jose Hernes,Abante,Administrator,Coeducational,Day Only,K,12,Yes,0,6,2,2,1,Yes,No,No,No,Religious,BAPT,No,Mrs.,Elizabeth,Ducusin,15963 Marcella Street,San Leandro,CA,94578,ibbcoffice@ibbcministries.org
