"California Department of Education, Title II Leadership Office",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2011-12 Private School Affidavit Data - Schools with Enrollment of Six or More Students (August 1, 2012)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affidavit ID,County,CDS Code,School ,Street,City,State,Zip,ZipPlus4,Mailing Street,Mailing City,Mailing State,Mailing Zip,Mailing ZipPlus4,Telephone,Email ,Email2,Public District,Site Administrator Salutation,Site Administrator First Name,Site Administrator Last Name,Site Administrator Title,School Type,School Accommodations,Low Grade,High Grade,Kindergarten Enrollment,Grade 1 Enrollment,Grade 2 Enrollment,Grade 3 Enrollment,Grade 4 Enrollment,Grade 5 Enrollment,Grade 6 Enrollment,Grade 7 Enrollment,Grade 8 Enrollment,Grade 9 Enrollment,Grade 10 Enrollment,Grade 11 Enrollment,Grade 12 Enrollment,Ungraded Elementary Enrollmnet,Ungraded Secondary Enrollment,Total Enrollment,Diploma Offered,Graduates 2011,Full Time Teachers,Part Time Teachers,Administrative Staff,Other Staff,Offers Special Education,Tax Exempt 501,Tax Exempt 23701,Tax Exempt 214,Tax Exempt,Religious Classification,Religious Denomination,Director/Principal Officer Salutation,Director/Principal Officer First Name,Director/Principal Officer Last Name,Director/Principal Officer Title,Director/Principal Officer Street,Director/Principal Officer City,Director/Principal Officer State,Director/Principal Officer Zip,Director/Principal Officer ZipPlus4,Director/Principal Officer Email,Custodian of Records Salutation,Custodian of Records First Name,Custodian of Records Last Name,Custodian of Records Street,Custodian of Records City,Custodian of Records State,Custodian of Records Zip,Custodian of Records ZipPlus4,Custodian of Records Email
113168,Alameda,01612590117002,Bayhill High School,521 Boden Way,Oakland,CA,94610,,,,CA,,,510-268-1500,info@bayhillhs.org,,Oakland Unified,Ms.,Shelley,Lobell,Executive Director,Coeducational,Day Only,9,12,0,0,0,0,0,0,0,0,0,15,18,18,16,0,0,67,Yes,0,6,2,3,8,Yes,Yes,No,No,Yes,Non-religious,,Ms.,SHelley,Lobell,Executive Director,521 Boden Way,Oakland,ca,94610,,lobell@bayhillhs.org,Ms.,Dee,Meier,521 Boden Way,Oakland,CA,94610,,meier@bayhillhs.org
105721,Alameda,01611926975999,Bayside Seventh-day Adventist Christian,26400 Gading Road,Hayward,CA,94544,3617,,,CA,,,510-785-1313,joplin.deborah@gmail.com,,Hayward Unified,Mrs.,Deborah,Joplin,Principal,Coeducational,Day Only,K,8,5,6,2,3,5,6,2,5,4,0,0,0,0,0,0,38,No,0,2,1,0,1,No,Yes,No,No,Yes,Religious,SDA,Mrs.,Coreen,Hicks,Superintendent,401 Taylor Boulevard,Pleasant Hill,CA,94523,,superintendent@nccsda.com,Mr.,Bill,Keresoma,401 Taylor Boulevard,Pleasant Hill,CA,94523,,superintendent@nccsda.com
114200,Alameda,01612596134100,Baywood Learning Center,12500 Campus Drive,Oakland,CA,94619,,5419 El Camile Avenue,Oakland,CA,94619,,510-395-6236,grace@baywoodlearningcenter.org,admin@baywoodlearningcenter.org,Oakland Unified,Ms.,Grace,Neufeld,Director,Coeducational,Day Only,K,12,0,0,0,0,0,5,5,0,0,0,0,0,0,15,15,40,No,5,1,8,2,7,No,Yes,No,No,Yes,Non-religious,,Mrs.,Susan,Taite,Other,5419 El Camile Avenue,Oakland,CA,94619,,grace@baywoodlearningcenter.org,Ms.,Grace,Neufeld,5419 El Camile Avenue,Oakland,CA,94619,,grace@baywoodlearningcenter.org
110776,Alameda,01612596967475,Bentley,1 Hiller Drive,Oakland,CA,94618,,,,CA,,,510-843-2512,afhogan@bentleyschool.net,bthomas@bentleyschool.net,Oakland Unified,Ms.,Arlene,Hogan,Head of School,Coeducational,Day Only,K,8,40,36,34,43,30,40,45,36,42,0,0,0,0,0,0,346,No,0,34,9,6,11,No,Yes,No,No,Yes,Non-religious,,Mr.,Brian,Thomas,Principal,1 Hiller Drive,Oakland,ca,94618,,bthomas@bentleyschool.net,Ms.,Gina,Raible,1 Hiller Drive,Oakland,CA,94618,,graible@bentleyschool.net
114089,Alameda,01611436142236,Berkeley Rose School,2401 Le Conte Avenue,Berkeley,CA,94709,1209,1442A Walnut Street,Berkeley,CA,94709,1405,510-859-7679,info@berkeleywaldorf.org,,Berkeley Unified School District,Ms.,Audrey,Lee,Other,Coeducational,Day Only,K,1,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,15,No,0,2,1,0,4,No,Yes,No,No,Yes,Non-religious,,Ms.,Andrea,Vander Pluym,Other,2371 Eunice Street,Berkeley,CA,94708,1644,andrea@berkeleywaldorf.org,Ms.,Meredith,Gill,1442A Walnut Street,Berkeley,CA,94709,1405,info@berkeleywaldorf.org
102663,Alameda,01611436972723,Berkwood Hedge,1809 Bancroft Way,Berkeley,CA,94703,,,,CA,,,510-883-6990,,,Berkeley Unified,Ms.,Elizabeth (Betsy),Willson,Administrator,Coeducational,Day Only,K,5,20,16,15,17,20,17,0,0,0,0,0,0,0,0,0,105,No,0,5,11,4,10,No,Yes,No,No,Yes,Non-religious,,Ms.,Jane,Friedman,Director,5181 Trask . Street,Oakland,CA,94601,,jane@berkwood.org,Ms.,Elizabeth (Betsy),Willson,1809 Bancroft Way,Berkeley,CA,94703,,betsy@berkwood.org
104906,Alameda,01611767089451,Bethel Christian Academy,36060 Fremont Boulevard,Fremont,CA,94536,,,,CA,,,510-795-1234,fremontbca@yahoo.com,,Fremont Unified,Rev.,William,Kintner,Headmaster,Coeducational,Day Only,K,8,7,7,5,7,5,2,7,5,3,0,0,0,0,0,0,48,No,0,4,2,1,2,No,Yes,No,No,Yes,Religious,BAPT,Rev.,William,Kintner,Headmaster,36060 Fremont Boulevard,Fremont,CA,94536,,,Miss,Joyce,Tan,36060 Fremont Boulevard,Fremont,CA,94536,,fremontbca@yahoo.com
114737,Alameda,01612596932784,Bishop O'Dowd High School,9500 Stearns Avenue,Oakland,CA,94605,,,,CA,,,510-577-9100,pshay@bishopodowd.org,,Oakland Unified,Dr.,Steven,Phelps,President,Coeducational,Day Only,9,12,0,0,0,0,0,0,0,0,0,310,251,280,299,0,0,1140,No,210,57,7,4,9,Yes,Yes,No,No,Yes,Religious,CATH,Ms.,Pam,Shay,Principal,776 Bridge Road,San Leandro,CA,94577,,pshay@bishopodowd.org,Ms.,Kathy,Soller,9500 Stearns Avenue,Oakland,CA,94605,,ksoller@bishopodowd.org
113055,Alameda,01613096972624,Calvary Lutheran Elementary,17200 Via Magdalena Street,San Lorenzo,CA,94580,,,,CA,,,510-278-2598,fbrauer@calvaryslz.org,mluehrs@calvaryslz.org,San Lorenzo Unified,Mr.,Fred,Brauer,Administrator,Coeducational,Day Only,K,8,9,17,13,6,13,13,13,11,13,0,0,0,0,0,0,108,No,0,8,2,1,7,No,Yes,Yes,Yes,Yes,Religious,LUTH,Mr.,Fred,Brauer,President,17200 Via Magdalena Street,San Lorenzo,CA,94580,,fbrauer@calvaryslz.org,Mr.,Fred,Brauer,17200 Via Magdalena Street,San Lorenzo,CA,94580,,fbrauer@calvaryslz.org
113106,Alameda,01612597103377,Candell's College Preparatory School,2544 73rd Avenue,Oakland,CA,94605,,,,CA,,,510-867-0390,candell1@yahoo.com,,Oakland Unified,Dr.,Terence,Candell,Executive Director,Coeducational,Day Only,K,12,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,7,Yes,6,2,1,1,0,Yes,Yes,Yes,No,Yes,Religious,INTD,Dr.,Terence,Candell,Executive Director,9050 McGurrin Road,Oakland,CA,94605,,Candell1@yahoo.com,Dr.,Terence,Candell,9050 McGurrin Road,Oakland,CA,94605,,Candell1@yahoo.com
113603,Alameda,01612007047467,Celebration Academy,1135 Bluebell Drive,Livermore,CA,94551,,,,CA,,,925-455-4250,,,Livermore Valley Joint Unified,Mr.,Larry,Ihrig,Administrator,Coeducational,Day Only,1,12,0,3,8,5,3,12,5,7,8,2,8,3,1,0,0,65,Yes,4,37,0,1,3,No,No,No,No,No,Religious,Other,Mrs.,Cindy,MacKanic,Director,1135 Bluebell Drive,Livermore,CA,94551,,,,Karen,Muser,1135 Bluebell Drive,Livermore,CA,94551,,
109380,Alameda,01612347091234,Challenger - Newark,39600 Cedar Boulevard,Newark,CA,94560,,,,CA,,,510-770-1771,,,Newark Unified,Ms.,Isabel,De La Herran,Director,Coeducational,Day Only,K,K,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,No,0,2,1,1,2,No,No,No,No,No,Non-religious,,Mr.,Dave,Mounteer,Executive Director,721 East Gish Road,San Jose,CA,95112,,,Ms.,Isabel,De La Herran,39600 Cedar Boulevard,Newark,CA,94560,,
109345,Alameda,01612347055411,Challenger-Ardenwood,35487 Dumbarton Court,Newark,CA,94560,,,,CA,,,510-739-0300,,,Newark Unified,Mr.,Joey,Morrison,Headmaster,Coeducational,Day Only,K,8,128,134,118,101,79,72,65,60,50,0,0,0,0,0,0,807,No,0,34,2,3,29,No,No,No,No,No,Non-religious,,Mr.,Dave,Mounteer,Executive Director,721 East Gish Road,San Jose,CA,95112,,,Mr.,Joey,Morrison,35487 Dumbarton Court,Newark,CA,94560,,
114829,Alameda,01611196979140,Children's Learning Center,1910 Central Avenue,Alameda,CA,94501,,,,CA,,,510-769-7100,tborrell@clcalameda.com,,Alameda City Unified,Dr.,Esther,Cohen,Executive Director,Coeducational,Day Only,6,12,0,0,0,0,0,0,10,7,7,11,10,6,15,0,0,66,No,8,6,2,1,22,No,Yes,Yes,Yes,Yes,Non-religious,,Dr.,Esther,Cohen,Executive Director,1910 Central Avenue,Alameda,CA,94501,,ecohen@clcalameda.com,Ms.,Tina,Borrell,1910 Central Avenue,Alameda,CA,94501,,tborrell@clcalameda.com
114832,Alameda,01611197094865,Children's Learning Center,2152 Central Avenue,Alameda,CA,94501,,1910 Central Avenue,Alameda,CA,94501,,510-769-7100,kcoffin@clcalameda.com,tborrell@clcalameda.com,Alameda City Unified,Mr.,Kody,Coffin,Other,Coeducational,Day Only,K,5,0,1,3,0,2,10,0,0,0,0,0,0,0,0,0,16,No,0,2,0,2,7,Yes,Yes,Yes,Yes,Yes,Non-religious,,Dr.,Esther,Cohen,Executive Director,1910 Central Avenue,Alameda,CA,94501,,ecohen@clcalameda.com,Ms.,Tina,Borrell,1910 Central Avenue,Alameda,CA,94501,,tborrell@clcalameda.com
110787,Alameda,01611196139018,Chinese American Schools - Alameda,1501 Harbor Bay Parkway,Alameda,CA,94502,,,,CA,,,510-814-7321,info@casalameda.org,,Alameda City Unified,Dr.,Richard,Porter,Principal,Coeducational,Day Only,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,No,0,1,1,1,1,No,Yes,Yes,Yes,Yes,Non-religious,,Mr.,Robin,Hom,Superintendent,1501 North Loop Road,Alameda,CA,94502,,RobinHom@aol.com,Dr.,Richard,Porter,1501 North Loop Road,Alameda,CA,94502,,RichardPorter@casalameda.org
110825,Alameda,01611196204697,Chinese Christian Schools-Alameda,1801 North Loop Road,Alameda,CA,94502,,,,CA,,,510-522-0200,ccsalameda@ccs-rams.org,,Alameda City Unified,Mrs.,Gloria,Ong,Principal,Coeducational,Day Only,K,12,10,18,22,18,21,20,25,21,13,45,51,70,51,0,0,385,Yes,49,40,8,10,8,No,Yes,Yes,Yes,Yes,Religious,NA,Mr.,Robin,Hom,Superintendent,1801 North Loop Road,Alameda,CA,94502,,RobinHom@ccs-rams.org,Mrs.,Cindy,Loh,1801 North Loop Road,Alameda,CA,94502,,CindyLoh@ccs-rams.org
110768,Alameda,01613096932800,Chinese Christian Schools-San Leandro,750 Fargo Avenue,San Leandro,CA,94579,,,,CA,,,510-351-4957,info@ccs-rams.org,,San Lorenzo Unified,Mr.,Edward,Yue,Principal,Coeducational,Day Only,K,8,31,44,43,43,34,36,30,20,28,0,0,0,0,0,0,309,No,0,28,4,3,5,No,Yes,Yes,Yes,Yes,Religious,NA,Mr.,Robin,Hom,Superintendent,750 Fargo Avenue,San Leandro,CA,94579,,RobinHom@ccs-rams.org,Mrs.,Cindy,Loh,750 Fargo Avenue,San Leandro,CA,94579,,CindyLoh@ccs-rams.org
105338,Alameda,01612756972632,Corpus Christi Elementary,1 Estates Drive,Piedmont,CA,94611,,,,CA,,,510-530-4056,kmurphy@csdo.org,jgarcia@csdo.org,Piedmont City Unified,Ms.,Kathleen,Murphy,Principal,Coeducational,Day Only,K,8,33,32,27,29,32,32,32,30,30,0,0,0,0,0,0,277,No,0,12,3,2,17,Yes,Yes,Yes,Yes,Yes,Religious,CATH,Ms.,Kathleen,Murphy,Principal,Ones Estates Drive,Piedmont,CA,94611,,kmurphy@csdo.org,Ms.,Kathleen,Murphy,1 Estates Drive,Piedmont,CA,94611,,kmurphy@csdo.org
115579,Alameda,01612597095292,Dr. Herbert Guice Christian Academy,6925 International Boulevard,Oakland,CA,94621,,,,CA,,,510-729-0330,bbowman@guiceacademy.org,,Oakland Unified,Ms.,Della,Wilson,Other,Coeducational,Day Only,K,6,3,6,6,4,6,7,2,0,0,0,0,0,0,0,0,34,No,0,4,2,1,6,No,Yes,No,No,Yes,Religious,BAPT,Dr.,Barbara,Bowman,Director,6925 International Boulevard,Oakland,CA,94621,,bbowman@guiceacademy.org,Ms.,Della,Wilson,6925 International Boulevard,Oakland,CA,94621,,dwilson@guiceacademy.org
111020,Alameda,01612596143077,E.M. University of Science & Technology,820 27th Street,Oakland,CA,94607,,5520 Vista Drive,Pinole,CA,94806,,510-444-2793,emuniversity@yahoo.com,collective.effort@ymail.com,Oakland Unified,Ms.,Barbara,Goodman,Administrator,Coeducational,Day Only,K,12,2,0,1,2,0,0,0,0,1,0,0,0,0,0,0,6,Yes,0,2,1,1,1,Yes,Yes,No,No,Yes,Non-religious,,Mr.,Robert,Fisher,Administrator,5520 Vista Drive,Pinole,CA,94806,,COLLECTIVE.EFFORT@YMAIL.COM,Ms.,Malaika,Williams, 5520 Vista Drive,San Pablo,CA,94806,,EMUNIVERSITY1897@YAHOO.COM
115912,Alameda,01611436141709,East Bay School for Boys,1798 Scenic Avenue,Berkeley,CA,94709,,,,CA,,,510-849-8190,info@ebsfb.org,kaylap@ebsfb.org,Berkeley Unified,Mr.,Jason,Baeten,Head of School,Boys Only,Day Only,6,7,0,0,0,0,0,0,24,25,0,0,0,0,0,0,0,49,No,0,3,3,3,1,No,Yes,No,No,Yes,Non-religious,,Mr.,Jason,Baeten,Head of School,1798 Scenic Avenue,Berkeley,CA,94709,,jasonb@ebsfb.org,Miss,Kayla,Patrick,1798 Scenic Avenue,Berkeley,CA,94709,,kaylap@ebsfb.org
103204,Alameda,01611436900757,Ecole Bilingue De Berkeley,1009 Heinz Avenue,Berkeley,CA,94710,2718,,,CA,,,510-549-3867,contact@eb.org,fcanadas@eb.org,Berkeley Unified,Mr.,Frederic,Canadas,Head of School,Coeducational,Day Only,K,8,75,60,61,59,43,54,38,44,34,0,0,0,0,0,0,468,No,0,44,6,8,35,No,Yes,No,No,Yes,Non-religious,,Mrs.,Lynn,Van Housen,President,1009 Heinz Avenue,Berkeley,CA,94710,2718,fcanadas@eb.org,Mr.,Doug,Mann,1009 Heinz Avenue,Berkeley,CA,94710,,dmann@eb.org
111787,Alameda,01612596143101,Elijah's University for Self-Development,818 27th Street,Oakland,CA,94607,,,,CA,,,510-444-2793,elijahuniversity@yahoo.com,,Oakland Unified,Mr.,Billie,Poindexter,Administrator,Coeducational,Day Only,K,10,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,6,No,0,2,2,1,0,Yes,Yes,No,No,Yes,Non-religious,,Ms.,Nicole,Henderson,Administrator,"814 27th Street, Suite 1",Oakland,CA,94607,,,Mr.,Billie,Poindexter,"814 27th Street, Suite 2",Oakland,CA,94607,,BILLIEPOINDEXTER@HOTMAIL.COM
114374,Alameda,01611926132690,Elmhurst Learning Center,380 Elmhurst Street,Hayward,CA,94544,,,,CA,,,510-786-1289,pastormare@gmail.com,,Hayward Unified,Rev.,Marilyn,Escoto,Principal,Coeducational,Day Only,K,3,10,2,5,7,0,0,0,0,0,0,0,0,0,0,0,24,No,0,2,0,2,1,No,Yes,No,No,Yes,Religious,BAPT,Rev.,Marilyn,Escoto,Executive Director,380 Elmhurst Street,Hayward,CA,94544,,pastormare@gmail.com,Ms.,Cheryl,Roman,380 Elmhurst Street,Hayward,CA,94544,,mexaricangirl@gmail.com
108138,Alameda,01612596138184,Escuela Bilingüe Internacional,410 Alcatraz Avenue,Oakland,CA,94609,,,,CA,,,510-653-3324,jfulk@ebinternacional.org,,Oakland Unified,Mr.,Jon,Fulk,Head of School,Coeducational,Day Only,K,5,42,39,27,29,6,6,0,0,0,0,0,0,0,0,0,149,No,0,12,5,7,3,Yes,Yes,No,No,Yes,Non-religious,,Mr.,Jon,Fulk,Head of School,410 Alcatraz Avenue,Oakland,CA,94609,,jfulk@ebinternacional.org,Miss,Gloria,Costas,410 Alcatraz Avenue,Oakland,CA,94609,,gcostas@ebinternacional.org
114548,Alameda,01612596909832,Fred Finch-Oakland Hills Academy,3800 Coolidge Avenue,Oakland,CA,94602,,,,CA,,,510-482-2244,marsmith@fredfinch.org,,Oakland Unified,Ms.,Mar,Smith,Director,Coeducational,Day Only,7,12,0,0,0,0,0,0,0,1,0,1,5,3,3,0,0,13,No,0,3,0,1,7,Yes,Yes,No,No,Yes,Non-religious,,Ms.,Mar,Smith,Other,3800 Coolidge Avenue,Oakland,CA,94602,,marsmith@fredfinch.org,Ms.,Khatera,Karimi,3800 Coolidge Avenue,Oakland,CA,94602,,khaterakarimi@fredfinch.org
108711,Alameda,01611766909840,Fremont Christian School,4760 Thornton Avenue,Fremont,CA,94536,2610,,,CA,,,510-744-2249,tmeyer@fremontchristian.com,smiller@fremontchristian.com,Fremont Unified,Dr.,Tricia,Meyer,Superintendent,Coeducational,Day Only,K,12,47,42,50,55,52,55,56,77,72,59,82,71,54,0,0,772,Yes,59,34,5,6,28,No,Yes,No,No,Yes,Religious,AG,Rev.,Terry,Inman,President,4760 Thornton Avenue,Fremont,CA,94536,2610,tmeyer@fremontchristian.com,Mrs.,Sherry,Miller,4760 Thornton Avenue,Fremont,CA,94536,2610,smiller@fremontchristian.com
