"California Department of Education, Teacher and Leader Policy Office",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-18 Private School Affidavit Data - Schools with Enrollment of Six or More Students (July 2018),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affidavit ID,County,CDS Code,School ,Street,City,State,Zip,Mailing Street,Mailing City,Mailing State,Mailing Zip,Telephone,Email ,Email2,Public District,Site Administrator Salutation,Site Administrator First Name,Site Administrator Last Name,Site Administrator Title,Site Administrator Email,School Type,School Accommodations,Low Grade,High Grade,Kindergarten Enrollment,Grade 1 Enrollment,Grade 2 Enrollment,Grade 3 Enrollment,Grade 4 Enrollment,Grade 5 Enrollment,Grade 6 Enrollment,Grade 7 Enrollment,Grade 8 Enrollment,Grade 9 Enrollment,Grade 10 Enrollment,Grade 11 Enrollment,Grade 12 Enrollment,Ungraded Elementary Enrollmnet,Ungraded Secondary Enrollment,Total Enrollment,Diploma Offered,Graduates 2015-16,Full Time Teachers,Part Time Teachers,Administrative Staff,Other Staff,Offers Special Education Services,Tax Exempt 501,Tax Exempt 23701,Tax Exempt 214,Tax Exempt,Religious Classification,Religious Denomination,Director/Principal Officer Salutation,Director/Principal Officer First Name,Director/Principal Officer Last Name,Director/Principal Officer Title,Director/Principal Officer Email,Custodian of Records Salutation,Custodian of Records First Name,Custodian of Records Last Name,Custodian of Records Email
220831,Alameda,01611766142459,Averroes High School,43174 Osgood Road,Fremont,CA,94539,no data,no data,no data,no data,510-580-4566,info@averroesinstitute.com,no data,Fremont Unified,Mrs.,Reem,Bilbeisi,Principal,reem@averroesinstitute.com,Coeducational,Day Only,9,12,0,0,0,0,0,0,0,0,0,18,11,9,3,0,0,41,Yes,7,5,2,1,5,No,Yes,No,No,Yes,Religious,Islamic,Mrs.,Reem,Bilbeisi,Director,reem@averroesinstitute.com,Ms.,Breshna,Sanger,breshna@averroesinstitute.com
216733,Alameda,01611766152276,BASIS Independent Fremont,3300 Kearney Street,Fremont,CA,94538,no data,no data,no data,no data,510-573-3435,ashley.leyba@basisindependent.com,no data,Fremont Unified,Dr.,Ashley,Leyba,Head of School,ashley.leyba@basisindependent.com,Coeducational,Day Only,K,6,26,32,41,25,25,46,47,0,0,0,0,0,0,0,0,242,No,0,29,0,15,0,No,No,No,No,No,Non-religious,,Dr.,Ashley,Leyba,Head of School,no data,Mrs.,Anne,Coackley,no data
216859,Alameda,01612590117002,Bayhill High School,1940 Virginia Street,Berkeley,CA,94709,no data,no data,no data,no data,510-984-0599,lobell@bayhillhs.org,no data,Berkeley Unified,Ms.,Shelley,Lobell,Executive Director,lobell@bayhillhs.org,Coeducational,Day Only,9,12,0,0,0,0,0,0,0,0,0,8,19,24,13,0,0,64,Yes,14,7,2,3,11,Yes,Yes,Yes,Yes,Yes,Non-religious,,Ms.,Shelley,Lobell,Executive Director,lobell@bayhillhs.org,Ms.,Lydia,Stacey,stacey@bayhillhs.org
223805,Alameda,01611926975999,Bayside Seventh-day Adventist Christian,26400 Gading Road,Hayward,CA,94544,no data,no data,no data,no data,510-785-1313,robert.robinson@nccsda.com,no data,Hayward Unified,Mr.,Robert,Robinson,Principal,robert.robinson@nccsda.com,Coeducational,Day Only,K,8,4,3,8,3,1,5,5,2,1,0,0,0,0,0,0,32,No,0,2,0,0,0,No,Yes,No,No,Yes,Religious,SDA,Mrs.,Coreen,Hicks,Superintendent,superintendent@nccsda.com,Mr.,Bill,Keresoma,superintendent@nccsda.com
231900,Alameda,01612596134100,Baywood Learning Centers,"12500 Campus Drive, SRH",Oakland,CA,94619,"484 Lake Park Ave, # 663",Oakland,CA,94610,510-214-3710,info@baywoodlearningcenter.org,info@baywoodlearningcenters.com,Oakland Unified,Ms.,Emily,Watkins,Director,director@baywoodlearningcenter.org,Coeducational,Day Only,K,12,0,0,0,12,0,6,0,0,7,9,0,0,0,0,0,34,Yes,0,0,7,5,6,Yes,Yes,No,No,Yes,Non-religious,,Ms.,Grace,Neufeld,Executive Director,grace@baywoodlearningcenter.org,Ms.,Grace,Neufeld,grace@baywoodlearningcenter.org
220269,Alameda,01612596967475,Bentley School,One Hiller Drive,Oakland,CA,94618,1000 Upper Happy Valley Road,Lafayette,CA,94549,510-843-2512,akopelevich@bentleyschool.net,no data,Oakland Unified,Ms.,Arlene,Hogan,Head of School,afhogan@bentleyschool.net,Coeducational,Day Only,K,8,30,36,38,36,40,34,42,46,47,0,0,0,0,0,0,349,No,0,37,2,4,25,No,Yes,No,No,Yes,Non-religious,,Ms.,Carol,Swainson,Other,cswainson@bentleyschool.net,Ms.,Julie,Bryant,jbryant@bentleyschool.net
223210,Alameda,01611436142236,Berkeley Rose Waldorf School,2138 Cedar Street,Berkeley,CA,94709,1442  A Walnut St,Berkeley,CA,94709,510-859-7679,administrator@berkeleyrose.org,no data,Berkeley Unified,Mrs.,Megan,Coleman,Administrator,megan@berkeleyrose.org,Coeducational,Day Only,K,7,21,14,11,14,15,11,0,2,0,0,0,0,0,0,0,88,No,0,9,10,3,2,No,Yes,No,No,Yes,Non-religious,,Mrs.,Megan,Coleman,Administrator,megan@berkeleyrose.org,Ms.,Karen,Hunt,Karen@berkeleyrose.org
228372,Alameda,01611436972723,Berkwood Hedge School,1809 Bancroft Way,Berkeley,CA,94703,no data,no data,no data,no data,510-883-6990,debbie@berkwood.org,no data,Berkeley Unified,Ms.,Debbie,Lloyd,Administrator,debbie@berkwood.org,Coeducational,Day Only,K,5,16,20,18,19,19,16,0,0,0,0,0,0,0,0,0,108,No,0,6,16,5,4,No,Yes,No,No,Yes,Non-religious,,Ms.,Love,Weinstock,Head of School,love@berkwood.org,Ms.,Debbie,Lloyd,debbie@berkwood.org
233665,Alameda,01611436972723,Berkwood Hedge School,1809 Bancroft Way,Berkeley,CA,94703,no data,no data,no data,no data,510-883-6990,BusinessOffice@Berkwood.org,no data,Berkeley Unified,Mr.,Stephen,Lawrence,Other,Stephen@berkwood.org,Coeducational,Day Only,K,5,16,20,19,19,19,16,0,0,0,0,0,0,0,0,0,109,No,0,7,16,5,3,No,Yes,No,No,Yes,Non-religious,,Ms.,Love,Weinstock,Head of School,Love@berkwood.org,Ms.,Debbie,Lloyd,Debbie@berkwood.org
216031,Alameda,01612596932784,Bishop O'Dowd High School,9500 Stearns Avenue,Oakland,CA,94605,no data,no data,no data,no data,510-577-9100,jgrell@bishopodowd.org,sphelps@bishopodowd.org,Oakland Unified,Mr.,James,Childs,Principal,jchilds@bishopodod.org,Coeducational,Day Only,9,12,0,0,0,0,0,0,0,0,0,312,328,287,308,0,0,1235,No,292,75,7,15,62,No,Yes,Yes,No,Yes,Religious,Roman Catholic,Dr.,Stephen,Phelps,President,sphelps@bishopodowd.org,Mrs.,Joan,Grell,jgrell@bishopodowd.org
217032,Alameda,01611436989784,Black Pine Circle School,2027 Seventh Street,Berkeley,CA,94710,no data,no data,no data,no data,510-845-0876,jcarlstroem@blackpinecircle.org,bshea@blackpinecircle.org,Berkeley Unified,Mr.,John,Carlstroem,Head of School,jcarlstroem@blackpinecircle.org,Coeducational,Day Only,K,8,16,21,18,23,22,24,63,62,64,0,0,0,0,0,0,313,No,0,31,5,14,23,No,Yes,No,No,Yes,Non-religious,,Mr.,John,Carlstroem,Head of School,jcarlstroem@blackpinecircle.org,Mr.,William,Shea,bshea@blackpinecircle.org
221954,Alameda,01611926143754,California Crosspoint Academy,25500 Industrial Boulevard,Hayward,CA,94545,no data,no data,no data,no data,510-995-5333,info@crosspointacademy.org,no data,Hayward Unified,Mrs.,Gloria,Ong,Principal,GloriaOng@CrosspointAcademy.org,Coeducational,Day Only,6,12,0,0,0,0,0,0,13,18,14,35,39,48,61,0,0,228,Yes,39,28,6,7,7,No,Yes,Yes,Yes,Yes,Religious,NA,Mr.,Robin,Hom,Superintendent,RobinHom@CrosspointAcademy.org,Mrs.,Christine,Hom,ChristineHom@crosspointacademy.org
226028,Alameda,01612007047467,Celebration Academy,1135 Bluebell Drive,Livermore,CA,94551,no data,no data,no data,no data,925-455-4250,celebrationacademyrecords1@gmail.com,no data,Livermore Valley Joint Unified,Mr.,Larry,Ihrig,Principal,skuchta@celebrationcc.org,Coeducational,Day Only,1,12,0,5,5,3,1,2,7,1,12,4,3,7,1,0,0,51,Yes,7,30,0,1,5,No,No,No,No,No,Religious,NA,Mrs.,Cindi,Mackanic,Director,no data,Mrs.,Kim,Nixon,celebrationacademyrecords1@gmail.com
220246,Alameda,01612347091234,Challenger - Newark,39600 Cedar Boulevard,Newark,CA,94560,no data,no data,no data,no data,510-770-1771,janderson@challengerschool.com,no data,Newark Unified,Ms.,J.R.,Moskaira,Director,jmoskaira@challengerschool.com,Coeducational,Day Only,K,K,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,No,0,3,2,1,3,No,Yes,Yes,Yes,Yes,Non-religious,,Mr.,David,Mounteer,Executive Director,no data,Ms.,J.R.,Moskaira,no data
220199,Alameda,01612347055411,Challenger School – Ardenwood,35487 Dumbarton Court,Newark,CA,94560,no data,no data,no data,no data,510-739-0300,janderson@challengerschool.com,no data,Newark Unified,Mrs.,Daisy,Salazar,Headmaster,dsalazar@challengerschool.com,Coeducational,Day Only,K,8,111,115,108,83,92,78,64,50,48,0,0,0,0,0,0,749,No,0,37,3,5,30,No,Yes,Yes,Yes,Yes,Non-religious,,Mr.,David,Mounteer,Executive Director,no data,Mrs.,Daisy,Salazar,no data
217245,Alameda,01611196204697,Chinese Christian Schools–Alameda,1801 North Loop Road,Alameda,CA,94502,no data,no data,no data,no data,510-522-0200,office@ccs-rams.org,no data,Alameda Unified,Mr.,Edward,Yue,Principal,EdwardYue@ccs-rams.org,Coeducational,Day Only,K,8,47,36,48,34,37,37,22,32,30,0,0,0,0,0,0,323,No,0,17,0,3,36,Yes,Yes,No,No,Yes,Religious,INDP,Mr.,Edward,Yue,Principal,EdwardYue@ccs-rams.org,Mrs.,Sandy,Hall,SandyHall@ccs-rams.org
234138,Alameda,no data,Church of ChristYR,2440 12 st. #B,oakland,CA,94606,no data,no data,no data,no data,916-750-4192,edu@my-ob.com,no data,Alameda County Office of Education,Sr.,Ahkayaha,Ahayahaza,Administrator,myobgov@gmail.com,Coeducational,Both,K,12,50,25,25,25,25,25,25,25,25,25,25,25,25,5,5,360,Yes,0,48,30,25,25,Yes,No,No,No,No,Non-religious,,Mrs.,Myaha,Ahayahaza,Director,no data,Mrs.,Ahkayaha,Ahyahaza,myobgov@gmail.com
234008,Alameda,01612596140735,Cornerstone Christian Academy,3535 38th Avenue,Oakland,CA,94619,no data,no data,no data,no data,510-530-9166,cca3535@aol.com,no data,Oakland Unified,Ms.,Tammy,Bratcher,Administrator,tcbcann@aol.com,Coeducational,Day Only,K,8,8,1,5,1,4,1,0,1,0,0,0,0,0,0,0,21,No,0,3,0,1,1,No,Yes,No,No,Yes,Religious,Baptist,Ms.,Tammy,Bratcher,Principal,cca3535@aol.com,Mrs.,Charlotte,Scott,cca3535@aol.com
217966,Alameda,01612756972632,Corpus Christi Elementary,One Estates Drive,Piedmont,CA,94611,no data,no data,no data,no data,510-530-4056,kmurphy@csdo.org,no data,Piedmont City Unified,Ms.,Kathleen,Murphy,Principal,kmurphy@csdo.org,Coeducational,Day Only,K,8,24,29,28,26,32,32,32,34,32,0,0,0,0,0,0,269,No,0,13,7,2,17,No,Yes,Yes,Yes,Yes,Religious,Roman Catholic,Ms.,Kathleen,Radecke,Superintendent,kradecke@csdo.org,Miss,Kelsey,Christie,kchristie@csdo.org
235081,Alameda,01612596154736,Cristo Rey De La Salle East Bay High School,1530 34th Ave,Oakland,CA,94601,no data,no data,no data,no data,510-532-8947,ahernandez@cristoreydelasalle.org,no data,Oakland Unified,Mr.,Michael,Anderer,President,manderer@cristoreydelasalle.org,Coeducational,Day Only,9,12,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,90,Yes,0,6,0,4,0,No,Yes,No,No,Yes,Religious,Roman Catholic,Ms.,Ana,Hernandez,Principal,ahernandez@cristoreydelasalle.org,Mr.,Chris,Trinidad,ctrinidad@cristoreydesalle.org
229377,Alameda,01611196147607,Da Vinci Center for Gifted Children,2050 Lincoln Avenue,Alameda,CA,94501,no data,no data,no data,no data,510-219-9410,ourgiftedchildren@yahoo.com,no data,Alameda Unified,Ms.,Catherine,Cook,Head of School,no data,Coeducational,Day Only,K,9,0,1,2,4,3,3,4,4,2,7,0,0,0,0,0,30,No,0,5,4,2,2,No,No,No,No,No,Non-religious,,Ms.,Catherine,Cook,Head of School,ourgiftedchildren@yahoo.com,Ms.,Catherine,Cook,ourgiftedchildren@yahoo.com
228872,Alameda,01612596149835,DeeColonize Acadmeny,8032 MacArthur Blvd,Oakland,CA,94605,no data,no data,no data,no data,510-435-7500,poormag@gmail.com,no data,Oakland Unified,Mr.,Muteado,Silencio,Administrator,muteado24@yahoo.com,Coeducational,Day Only,K,9,1,0,0,2,0,1,0,0,1,1,0,0,0,0,0,6,No,0,0,4,2,0,No,Yes,No,No,Yes,Non-religious,,Ms.,Lisa,Gray-Garcia,Principal,deeandtiny@gmail.com,Ms.,Marlee,Blasenheim,marlee.blasenheim@gmail.com
216072,Alameda,01612597095292,Dr. Herbert Guice Christian Academy,"6925 International Boulevard, Oakland, CA  94621",Oakland,CA,94621,no data,no data,no data,no data,510-729-0330,aangeloguiceacademy@gmail.com,no data,Oakland Unified,Ms.,Adria,Angelo,Director,aangeloguiceacademy@gmail.com,Coeducational,Day Only,K,K,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,No,0,1,0,1,2,No,Yes,No,No,Yes,Religious,Baptist,Ms.,Adria,Angelo,Director,aangeloguiceacademy@gmail.com,Ms.,Adria,Angelo,aangeloguiceacademy@gmail.com
234612,Alameda,01611686154553,East Bay German International School,1070 41st Street,Emeryville,CA,94608,no data,no data,no data,no data,510-679-2199,contact@ebgis.org,no data,Emery Unified,Mr.,Martin,Walter,Principal,mwalter@ebgis.org,Coeducational,Day Only,K,8,10,12,8,3,5,6,8,2,2,0,0,0,0,0,0,56,No,0,12,2,1,2,No,Yes,Yes,No,Yes,Non-religious,,Mr.,Rufus,Pichler,Director,rpichler@ebgis.org,Ms.,Claudia,Cronin,no data
220001,Alameda,01611686154553,East Bay Home School,31367 Santa Fe Way,Union City,CA,94587,no data,no data,no data,no data,415-602-7949,valerieirene2010@gmail.com,no data,Fremont Unified,Ms.,Valerie,Jaegar,Director,valerieirene2010@gmail.com,Coeducational,Day Only,K,12,4,3,1,0,1,0,0,1,0,2,1,1,0,0,0,14,Yes,0,1,1,1,5,No,No,No,No,No,Non-religious,,Ms.,Valerie,Jaegar,Director,no data,Ms.,Valerie,Jaegar,valerieirene2010@gmail.com
232186,Alameda,01611436900757,Ecole Bilingue De Berkeley,1009 Heinz Avenue,Berkeley,CA,94710,1009 HEINZ AVENUE,Berkeley,CA,94710,510-549-3867,hosoffice@eb.org,mlazar@eb.org,Berkeley Unified,Dr.,Mehdi,Lazar,Head of School,mlazar@eb.org,Coeducational,Day Only,K,8,49,43,41,46,52,38,40,39,31,0,0,0,0,0,0,379,No,0,55,3,9,21,No,Yes,No,No,Yes,Non-religious,,Mrs.,Emma,GIMON,President,emma@gimon.org,Mr.,Thierry,Durandard,tdurandard@eb.org
234067,Alameda,01611926132690,Elmhurst Learning Center,380 Elmhurst Street,Hayward,CA,94544,no data,no data,no data,no data,510-786-1295,elmhurstlearningcenter.info@gmail.com,pastormare@gmail.com,Hayward Unified,Rev.,Marilyn,Escoto,Executive Director,pastormare@gmail.com,Coeducational,Day Only,K,K,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,No,0,1,1,1,2,No,Yes,No,No,Yes,Religious,Baptist,Rev.,Marilyn,Escoto,Executive Director,pastormare@gmail.com,Mrs.,Nicole,Heath,elmhurstlearningcenter@gmail.com
221031,Alameda,01612596138184,Escuela Bilingüe Internacional,410 Alcatraz Avenue,Oakland,CA,94609,no data,no data,no data,no data,510-653-3324,jfulk@ebinternacional.org,no data,Oakland Unified,Mr.,Jonathan,Fulk,Head of School,jfulk@ebinternacional.org,Coeducational,Day Only,K,8,43,44,43,43,29,26,27,21,18,0,0,0,0,0,0,294,No,0,40,5,9,22,No,Yes,No,No,Yes,Non-religious,,Mr.,Jonathan,Fulk,Head of School,jfulk@ebinternacional.org,Ms.,Gloria,Costas,gcostas@ebinternacional.org
231916,Alameda,39767606153308,Farrington Academy,1266 Hudson Way,Livermore,CA,94550,no data,no data,no data,no data,925-518-7539,johnsonbryanmark@gmail.com,no data,Livermore Valley Joint Unified,Dr.,Bryan,Johnson,Head of School,johnsonbryanmark@gmail.com,Coeducational,Day Only,K,12,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,7,Yes,1,1,1,1,0,No,Yes,No,No,Yes,Religious,Evangelical,Dr.,Bryan,Johnson,Principal,johnsonbryanmark@gmail.com,Dr.,Bryan,Johnson,johnsonbryanmark@gmail.com
216827,Alameda,01750936995641,Fountainhead Montessori School,6670 Amador Plaza Road,Dublin,CA,94568,no data,no data,no data,no data,925-820-1343,info@fms.org,no data,Dublin Unified,Ms.,Shandy,Cole,Executive Director,shandy@fms.org,Coeducational,Day Only,K,6,15,13,10,3,0,0,0,0,0,0,0,0,0,0,0,41,No,0,10,2,1,0,No,Yes,No,No,Yes,Non-religious,,Ms.,Frida,Azari,Director,info@fms.org,Ms.,Shandy,Cole,shandy@fms.org
225529,Alameda,01612596909832,Fred Finch–Oakland Hills Academy,3800 Coolidge Avenue,Oakland,CA,94602,no data,no data,no data,no data,510-482-2244,marsmith@fredfinch.org,traceytashiro@fredfinch.org,Oakland Unified,Ms.,Mar,Smith,Other,marsmith@fredfinch.org,Coeducational,Day Only,6,12,0,0,0,0,0,0,0,1,4,1,2,2,1,0,0,11,Yes,0,2,0,1,5,Yes,Yes,No,No,Yes,Non-religious,,Ms.,Tracey,Tashiro,Director,traceytashiro@fredfinch.org,Mr.,Timothy,Trickett-Robles,timothytrickettrobles@fredfinch.org
223536,Alameda,01611766909840,Fremont Christian School,4760 Thornton Avenue,Fremont,CA,94536,no data,no data,no data,no data,510-744-2241,admissions@fremontchristian.com,tbean@fremontchristian.com,Fremont Unified,Dr.,Tricia,Meyer,Head of School,tmeyer@fremontchristian.com,Coeducational,Day Only,K,12,47,46,30,43,36,35,32,34,34,36,50,54,61,0,0,538,Yes,66,50,1,9,5,No,Yes,No,No,Yes,Religious,Assembly of God,Rev.,Terry,Inman,President,no data,Ms.,Danielle,Gasper,dgasper@fremontchristian.com
217854,Alameda,01611766139778,Genius Kids Inc,4966 Paseo Padre Parkway,Fremont,CA,94555,3645 Mowry Avenue,Fremont,CA,94538,510-364-4033,rennud@gmail.com,rennud@gmail.com,Fremont Unified,Miss,Shana,Nijjar,Director,shana.geniuskids@gmail.com,Coeducational,Day Only,K,6,12,24,12,12,12,12,12,0,0,0,0,0,0,0,0,96,No,0,2,4,1,2,No,No,No,No,No,Non-religious,,Ms.,Rennu,Dhillon,Other,rennud@gmail.com,Ms.,Shana,Nijjar,shana.geniuskids@gmail.com
224457,Alameda,01611436148506,German Int'l School of Silicon Valley,1070 41st Street,Emoryville,CA,94608,no data,no data,no data,no data,510-558-0436,office@gissv.org,no data,Emery Unified,Mr.,Martin,Walter,Other,mwalter@gissv.org,Coeducational,Day Only,K,8,8,8,3,7,7,9,2,2,11,0,0,0,0,0,0,57,No,0,8,9,1,3,No,Yes,Yes,Yes,Yes,Non-religious,,Mr.,Michael,Koops,Head of School,mkoops@gissv.org,Mr.,Michael,Koops,mkoops@gissv.org
219416,Alameda,01611436139273,Global Montessori International School,2830 Ninth Street,Berkeley,CA,94710,no data,no data,no data,no data,510-845-6969,office@gmis-berkeley.com,no data,Berkeley Unified,Ms.,Vivi,Teng,Executive Director,office@gmais-berkeley.com,Coeducational,Day Only,K,K,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,No,0,9,2,2,1,No,No,No,No,No,Non-religious,,Ms.,Vivi,Teng,Executive Director,office@gmis-berkeley.com,Ms.,Tracy,Gaines,office@gmis-berkeley.com
220325,Alameda,01612597071970,Grand Lake Montessori,466 Chetwood St.,Oakland,CA,94610,no data,no data,no data,no data,510-836-4313,office@grandlakemontessori.com,nancy@grandlakemontessori.com,Oakland Unified,Ms.,Helen,Campbell,Head of School,no data,Coeducational,Day Only,K,4,11,3,8,2,1,0,0,0,0,0,0,0,0,0,0,25,No,0,36,0,2,2,No,Yes,No,No,Yes,Non-religious,,Ms.,Helen,Campbell,Head of School,Helen@grandlakemontessori.com,Ms.,Nancy,Haskins,nancy@grandlakemontessori.com
