"California Department of Education, Title II Leadership Office",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2013-14 Private School Affidavit Data - Schools with Enrollment of Six or More Students (August 5, 2014)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affidavit ID,County,CDS Code,School ,Street,City,State,Zip,Mailing Street,Mailing City,Mailing State,Mailing Zip,Telephone,Email ,Email2,Public District,Site Administrator Salutation,Site Administrator First Name,Site Administrator Last Name,Site Administrator Title,Site Administrator Email,School Type,School Accommodations,Low Grade,High Grade,Kindergarten Enrollment,Grade 1 Enrollment,Grade 2 Enrollment,Grade 3 Enrollment,Grade 4 Enrollment,Grade 5 Enrollment,Grade 6 Enrollment,Grade 7 Enrollment,Grade 8 Enrollment,Grade 9 Enrollment,Grade 10 Enrollment,Grade 11 Enrollment,Grade 12 Enrollment,Ungraded Elementary Enrollmnet,Ungraded Secondary Enrollment,Total Enrollment,Diploma Offered,Graduates 2013,Full Time Teachers,Part Time Teachers,Administrative Staff,Other Staff,Certified NoPS,Tax Exempt 501,Tax Exempt 23701,Tax Exempt 214,Tax Exempt,Religious Classification,Religious DenomiNot affiliated with any denominationtion,Director/Principal Officer Salutation,Director/Principal Officer First Name,Director/Principal Officer Last Name,Director/Principal Officer Title,Director/Principal Officer Email,Custodian of Records Salutation,Custodian of Records First Name,Custodian of Records Last Name,Custodian of Records Email
145790,Alameda,01611436142236,Berkeley Rose School,2138 Cedar Street,Berkeley,CA,94709,"1442A Walnut, Number 395",Berkeley,CA,94709,510-859-7679,info@berkeleywaldorf.org,alee@berkeleywaldorf.org,Alameda Unified,Ms.,Leah,Redwood,Administrator,leah@berkeleyrose.org,Coeducational,Day Only,K,3,15,3,2,8,0,0,0,0,0,0,0,0,0,0,0,28,No,0,4,9,1,1,No,Yes,No,No,Yes,Non-religious,,Ms.,Audrey,Lee,Director,alee@berkeleywaldorf.org,Ms.,Leah,Redwood,leah@berkeleyrose.org
148798,Alameda,01611436972723,Berkwood Hedge,1809 Bancroft Way,Berkeley,CA,94703,,,,,510-883-6990,heather-business@berkwood.org,,Berkeley School District,Ms.,Heather,Hougey,Other,heather-business@berkwood.org,Coeducational,Day Only,K,5,22,16,18,18,18,15,0,0,0,0,0,0,0,0,0,107,No,0,7,5,4,3,No,Yes,No,No,Yes,Non-religious,,Mrs.,Love,Weinstock,Director,love@berkwood.org,Ms.,Heather,Hougey,heather-business@berkwood.org
134978,Alameda,01611767089451,Bethel Christian Academy,36060 Fremont Boulevard,Fremont,CA,94536,,,,,510-795-1234,fremontbca@yahoo.com,,Fremont Unified,Rev.,William,Kintner,Headmaster,fremontbca@yahoo.com,Coeducational,Day Only,K,8,9,2,4,8,6,6,3,3,4,0,0,0,0,0,0,45,No,0,4,2,1,1,No,Yes,No,No,Yes,Religious,Evangelical,Rev.,William,Kintner,Head of School,fremontbca@yahoo.com,Miss,Joyce,Tan,jjtan13@gmail.com
136274,Alameda,01612596932784,Bishop O'Dowd High School,9500 Stearns Avenue,Oakland,CA,94605,,,,,510-577-9100,pshay@bishopodowd.org,,Oakland Unified,Mrs.,Pam,Shay,Principal,pshay@bishopodowd.org,Coeducational,Day Only,9,12,0,0,0,0,0,0,0,0,0,308,289,309,245,0,0,1151,Yes,272,72,9,12,15,No,Yes,No,No,Yes,Religious,Roman Catholic,Dr.,Stephen,Phelps,President,sphelps@bishopodowd.org,Mrs.,Pam,Shay,pshay@bishopodowd.org
149206,Alameda,01611436989784,Black Pine Circle School,2027 Seventh Street,Berkeley,CA,94710,,,,,510-845-0876,jcarlstroem@blackpinecircle.org,bshea@blackpinecircle.org,Berkeley Unified,Mr.,William,Shea,Other,bshea@blackpinecircle.org,Coeducational,Day Only,K,8,14,21,19,17,24,24,57,48,47,0,0,0,0,0,0,271,No,0,35,16,11,2,No,Yes,No,No,Yes,Non-religious,,Mr.,John,Carlstroem,Head of School,jcarlstroem@blackpinecircle.org,Mr.,William,Shea,bshea@blackpinecircle.org
132438,Alameda,01613096972624,Calvary Lutheran Elementary,17200 Via Magdalena,San Lorenzo,CA,94580,,,,,510-278-2598,fbrauer@calvaryslz.org,,San Lorenzo Unified,Mr.,Fred,Brauer,Principal,fbrauer@calvaryslz.org,Coeducational,Day Only,K,8,14,9,4,10,7,1,6,9,6,0,0,0,0,0,0,66,No,0,7,4,1,2,,Yes,No,No,Yes,Religious,Lutheran,Mr.,Fred,Brauer,Principal,fbrauer@calvaryslz.org,Mr.,Fred,Brauer,fbrauer@calvaryslz.org
145464,Alameda,01611506906556,Camelot School,2330 Pomar Vista,Castro Valley,CA,94546,,,,,510-481-1304,camelotschoolcv@yahoo.com,georginaarmstrong@sbcglobal.net,San Lorenzo Unified,Ms.,Kelly,Arribas,Director,camelotschoolcv@yahoo.com,Coeducational,Day Only,K,K,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,No,0,1,1,0,0,No,No,No,No,No,Non-religious,,Ms.,Georgina,Armstrong,President,georginaarmstrong@sbcglobal.net,Ms.,Kelly,Arribas,georginaarmstrong@sbcglobal.net
137974,Alameda,01612007047467,Celebration Academy,1135 Bluebell Drive,Livermore,CA,94551,,,,,925-455-4250,kimnmiknixon@gmail.com,,Livermore Valley Joint Unified,Mr.,Larry,Ihrig,Principal,skuchta@celebrationcc.org,Coeducational,Day Only,1,12,0,4,5,2,8,4,4,10,1,8,6,0,6,0,0,58,Yes,3,36,0,1,2,No,No,No,No,No,Religious,Not affiliated with any denomination,Mrs.,Cindi,Mackanic,Director,,Mrs.,Kim,Nixon,
138563,Alameda,01612347091234,Challenger - Newark,39600 Cedar Boulevard,Newark,CA,94560,,,,,510-770-1771,,,Newark Unified,Mrs.,Avni,Shah,Director,ashah@challengerschool.com,Coeducational,Day Only,K,K,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,No,0,3,0,1,3,No,No,No,No,No,Non-religious,,Mr.,Dave,Mounteer,Executive Director,,Mrs.,Avni,Shah,ashah@challengerschool.com
138374,Alameda,01612347055411,Challenger–Ardenwood,35487 Dumbarton Court,Newark,CA,94560,,,,,510-739-0300,,,Newark Unified,Mr.,Joseph,Morrison,Headmaster,jmorrison@challengerschool.com,Coeducational,Day Only,K,8,117,121,132,96,98,74,62,51,55,0,0,0,0,0,0,806,No,0,39,1,3,30,No,No,No,No,No,Non-religious,,Mr.,Dave,Mounteer,Executive Director,,Mr.,Joseph,Morrison,jmorrison@challengerschool.com
141165,Alameda,01611196143754,Chinese Christian High School,1501 Harbor Bay Parkway,Alameda,CA,94502,,,,,510-995-5333,info@cchsrams.org,RobinHom@aol.com,Alameda Unified,Mr.,Robin,Hom,Superintendent,RobinHom@cchsrams.org,Coeducational,Day Only,9,12,0,0,0,0,0,0,0,0,0,48,55,55,56,0,0,214,Yes,69,37,4,4,5,No,Yes,Yes,Yes,Yes,Religious,Not affiliated with any denomination,Mrs.,Gloria,Ong,Principal,GloriaOng@cchsrams.org,Mrs.,Christine,Hom,ChristineHom@cchsrams.org
143484,Alameda,01611196204697,Chinese Christian Schools–Alameda,1801 North Loop Road,Alameda,CA,94502,,,,,510-522-0200,ccsalameda@ccs-rams.org,,Alameda Unified,Mr.,Edward,Yue,Principal,edwardyue@ccs-rams.org,Coeducational,Day Only,K,8,20,12,13,21,25,14,20,13,25,0,0,0,0,0,0,163,No,0,13,1,2,6,No,Yes,No,No,Yes,Religious,Evangelical,Mr.,Edward,Yue,Principal,edwardyue@ccs-rams.org,Mrs.,Cindy,Loh,cindyloh@ccs-rams.org
143520,Alameda,01613096932800,Chinese Christian Schools–San Leandro,750 Fargo Avenue,San Leandro,CA,94579,,,,,510-351-4957,edwardyue@ccs-rams.org,graceleung@ccs-rams.org,San Lorenzo Unified,Mr.,Edward,Yue,Principal,edwardyue@ccs-rams.org,Coeducational,Day Only,K,8,49,34,24,34,37,32,16,21,31,0,0,0,0,0,0,278,No,0,24,6,2,14,No,Yes,No,No,Yes,Religious,Interdenominational,Mr.,Edward,Yue,Principal,edwardyue@ccs-rams.org,Mrs.,Cidny,Loh,cindyloh@ccs-rams.org
136068,Alameda,01612756972632,Corpus Christi Elementary,One Estates Drive,Piedmont,CA,94611,,,,,510-530-4056,kmurphy@csdo.org,,Piedmont City Unified,Ms.,Kathleen,Murphy,Principal,kmurphy@csdo.org,Coeducational,Day Only,K,8,28,29,31,33,24,26,29,33,30,0,0,0,0,0,0,263,No,0,13,3,2,17,No,Yes,Yes,Yes,Yes,Religious,Roman Catholic,Ms.,Kathleen,Murphy,Principal,kmurphy@csdo.org,Ms.,Kathleen,Murphy,kmurphy@csdo.org
141164,Alameda,01611196147607,Da Vinci Center for Gifted Children,472 Taylor Avenue,Alameda,CA,94501,,,,,510-219-9410,ourgiftedchildren@yahoo.com,,Alameda,Ms.,Catherine,Cook,President,ourgiftedchildren@yahoo.com,Coeducational,Day Only,K,6,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,6,No,0,1,0,1,1,No,No,No,No,No,Non-religious,,Ms.,Catherine,Cook,Administrator,ourgiftedchildren@yahoo.com,Ms.,Catherine,Cook,ourgiftedchildren@yahoo.com
147380,Alameda,01612596145726,Doulos Academy,152 Taurus Avenue,Oakland,CA,94611,,,,,510-601-5222,dstse_jung@yahoo.com,,Oakland Unified,Mrs.,Sharon,Jung,Executive Director,dstse_jung@yahoo.com,Coeducational,Day Only,1,12,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,6,Yes,0,1,1,2,0,No,Yes,No,No,Yes,Religious,Baptist,Rev.,Derek,Jung,Principal,dstse_jung@yahoo.com,Mrs.,Sharon,Jung,dstse_jung@yahoo.com
136328,Alameda,01612597095292,Dr. Herbert Guice Christian Academy,6925 International Boulevard,Oakland,CA,94621,,,,,510-729-0330,bbowman@guiceacademy.org,,Oakland Unified,Dr.,Barbara,Bowman,Director,bbowman@guiceacademy.org,Coeducational,Day Only,K,6,10,5,2,6,0,2,4,0,0,0,0,0,0,0,0,29,No,0,4,3,1,4,No,Yes,No,No,Yes,Religious,Baptist,Dr.,Barbara,Bowman,Director,bbowman@guiceacademy.org,Ms.,Della,Wilson,dwilson@guiceacademy.org
148389,Alameda,01611436141709,East Bay School for Boys,2340 Durant Avenue,Berkeley,CA,94704,,,,,510-621-3272,info@ebsfb.org,,Berkeley Unified,Mr.,Jason,Baeten,Head of School,jasonb@ebsfb.org,Boys Only,Day Only,6,8,0,0,0,0,0,0,34,27,28,0,0,0,0,0,0,89,No,0,9,4,3,1,No,Yes,Yes,Yes,Yes,Non-religious,,Mr.,Jason,Baeten,Head of School,jasonb@ebsfb.org,Mr.,Jason,Baeten,jasonb@ebsfb.org
142483,Alameda,01611436900757,Ecole Bilingue De Berkeley,1009 Heinz Avenue,Berkeley,CA,94710,,,,,510-549-3867,contact@eb.org,rrountree@eb.org,Berkeley Unified,Mr.,Frederic,CANADAS,Head of School,fcanadas@eb.org,Coeducational,Day Only,K,8,69,58,61,56,51,54,38,46,39,0,0,0,0,0,0,472,No,0,40,4,9,29,No,Yes,No,No,Yes,Non-religious,,Mr.,Peter,Secor,President,secorp@gmail.com,Mr.,Thierry,Durandard,
133263,Alameda,01612596138184,Escuela Bilingüe Internacional,410 Alcatraz Avenue,Oakland,CA,94609,,,,,510-653-3324,jfulk@ebinternacional.org,,Oakland Unified,Mr.,Jon,Fulk,Head of School,jfulk@ebinternacional.org,Coeducational,Day Only,K,7,44,43,37,32,24,26,6,5,0,0,0,0,0,0,0,217,No,0,33,14,9,9,No,Yes,No,No,Yes,Non-religious,,Mr.,Jon,Fulk,Head of School,,Ms.,Ana,Hoover,ahoover@ebinternacional.org
135722,Alameda,01612596909832,Fred Finch–Oakland Hills Academy,3800 Coolidge Avenue,Oakland,CA,94602,,,,,510-482-2244,marsmith@fredfinch.org,,Oakland Unified,Mrs.,Mar,Smith,Administrator,marsmith@fredfinch.org,Coeducational,Day Only,6,12,0,0,0,0,0,0,0,0,0,2,1,2,2,0,3,10,Yes,0,2,0,2,4,Yes,Yes,No,No,Yes,Non-religious,,Ms.,Tracey,Tashiro,Principal,traceytashiro@fredfinch.org,Ms.,Khatera,Karimi,khaterakarimi@fredfinch.org
134826,Alameda,01611766909840,Fremont Christian School,4760 Thornton Avenue,Fremont,CA,94536,,,,,510-744-2267,tmeyer@fremontchristian.com,smiller@fremontchristian.com,Fremont Unified,Dr.,Tricia,Meyer,Superintendent,tmeyer@fremontchristian.com,Coeducational,Day Only,K,12,51,38,41,29,34,46,46,40,56,53,56,55,65,0,0,610,Yes,52,45,3,10,9,No,Yes,No,No,Yes,Religious,Assembly of God,Rev.,Terry,Inman,President,,Mrs.,Sherry,Miller,smiller@fremontchristian.com
147938,Alameda,01611766139778,Genius Kids Inc,4966 Paseo Padre Parkway,Fremont,CA,94555,,,,,510-713-2431,info@geniuskidsonline.com,rennud@gmail.com,Fremont Unified,Ms.,Rennu,Dhillon,President,rennud@gmail.com,Coeducational,Day Only,K,6,20,20,20,20,5,5,1,0,0,0,0,0,0,0,0,91,No,0,3,3,1,2,No,No,No,No,No,Non-religious,,Mrs.,Shana,Nijjar,Executive Director,shana.geniuskids@gmail.com,Mrs.,Shana,Nijjar,shana.geniuskids@gmail.com
142427,Alameda,01611436139273,Global Montessori International School,2830 9th Street,Berkeley,CA,94710,,,,,510-845-6969,office@gmis-berkeley.com,,Berkeley Unified,Mrs.,Vivi,Teng,Director,,Coeducational,Day Only,K,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,6,No,0,11,2,1,0,No,No,No,No,No,Non-religious,,Mrs.,Vivi,Teng,Director,,Mrs.,Vivi,Teng,
138635,Alameda,01612597071970,Grand Lake Montessori,466 Chetwood Street,Oakland,CA,94610,,,,,510-836-4313,nancy@grandlakemontessori.com,,Oakland Unified,Ms.,Helen,Campbell,Head of School,helen@grandlakemontessori.com,Coeducational,Day Only,K,1,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,21,No,0,30,0,4,1,No,Yes,No,No,Yes,Non-religious,,Ms.,Helen,Campbell,Head of School,helen@grandlakemontessori.com,Ms.,Nancy,Haskins,nancy@grandlakemontessori.com
135591,Alameda,01612597083397,Growing Light Montessori,4700 Lincoln Avenue,Oakland,CA,94602,,,,,510-336-9897,glms4u@gmail.com,,Oakland Unified,Ms.,Paula,Cancienne,Director,glms4u@gmail.com,Coeducational,Day Only,K,1,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22,No,0,2,3,1,1,Yes,No,No,No,No,Non-religious,,Ms.,Rachel,La Field,Head of School,growinglight@mac.com,Ms.,Hyejin,Lee,hyejin2a@gmail.com
132411,Alameda,01751017082761,Hacienda School,3800 Stoneridge Drive,Pleasanton,CA,94588,,,,,925-485-5750,jcamara@headsup.org,hacienda@headsup.org,Pleasanton Unified,Mrs.,Jo Anne,Camara,Director,jcamara@headsup.org,Coeducational,Day Only,1,8,0,9,16,9,9,4,5,2,2,0,0,0,0,0,0,56,No,0,6,6,2,0,,No,No,No,No,Non-religious,,Mrs.,Jo Anne,Camara,Director,jcamara@headsup.org,Mrs.,Jo Anne,Camara,jcamara@headsup.org
135737,Alameda,01612596932925,Head-Royce School,4315 Lincoln Avenue,Oakland,CA,94602,,,,,510-531-1300,dmalone@headroyce.org,rlake@headroyce.org,Oakland Unified,Mr.,Dennis,Malone,Administrator,dmalone@headroyce.org,Coeducational,Day Only,K,12,40,48,41,38,40,38,83,92,88,96,98,85,90,0,0,877,No,80,76,37,14,29,No,Yes,Yes,Yes,Yes,Non-religious,,Mr.,Robert,Lake,Head of School,rlake@headroyce.org,Mr.,Robert,Lake,rlake@headroyce.org
138444,Alameda,01751017085970,Hillview Christian Academy,5492 Greenfield Way,Pleasanton,CA,94566,,,,,925-461-3210,slcteach@aol.com,,Pleasanton Unified,Mr.,Steven,Collard,Administrator,slcteach@aol.com,Coeducational,Day Only,1,12,0,1,0,0,3,1,1,1,0,0,1,1,0,0,0,9,No,0,3,0,0,0,No,No,No,No,No,Religious,Not affiliated with any denomination,Mr.,Steven,Collard,Principal,slcteach@aol.com,Mrs.,Sharon,Collard,slcteach@aol.com
138952,Alameda,01612596932941,Holy Names High School,4660 Harbord Drive,Oakland,CA,94618,,,,,510-450-1110,registrar@hnhsoakland.org,,Oakland Unified,Ms.,Colleen,Curran,Principal,ccurran@hnhsoakland.org,Girls Only,Day Only,9,12,0,0,0,0,0,0,0,0,0,33,31,42,40,0,0,146,Yes,49,18,7,5,8,No,Yes,No,No,Yes,Religious,Roman Catholic,Ms.,Colleen,Curran,Principal,ccurran@hnhsoakland.org,Ms.,Linda,Brownell,lbrownell@hnhsoakland.org
144988,Alameda,01611766972731,Holy Spirit Elementary,3930 Parish Avenue,Fremont,CA,94536,,,,,510-793-3553,holyspiritschool@csdo.org,jgarcia@csdo.org,Fremont Unified,Mr.,Kenneth,Boegel,Principal,kboegel@csdo.org,Coeducational,Day Only,K,8,33,31,33,37,26,31,33,34,34,0,0,0,0,0,0,292,No,0,12,3,1,12,No,Yes,Yes,Yes,Yes,Religious,Roman Catholic,Mr.,Kenneth,Boegel,Principal,kboegel@csdo.org,Mr.,Kenneth,Boegel,kboegel@csdo.org
