"California Department of Education, Educator Excellence Office",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2015-16 Private School Affidavit Data - Schools with Enrollment of Six or More Students (September 1, 2016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affidavit ID,County,CDS Code,School ,Street,City,State,Zip,Mailing Street,Mailing City,Mailing State,Mailing Zip,Telephone,Email ,Email2,Public District,Site Administrator Salutation,Site Administrator First Name,Site Administrator Last Name,Site Administrator Title,Site Administrator Email,School Type,School Accommodations,Low Grade,High Grade,Kindergarten Enrollment,Grade 1 Enrollment,Grade 2 Enrollment,Grade 3 Enrollment,Grade 4 Enrollment,Grade 5 Enrollment,Grade 6 Enrollment,Grade 7 Enrollment,Grade 8 Enrollment,Grade 9 Enrollment,Grade 10 Enrollment,Grade 11 Enrollment,Grade 12 Enrollment,Ungraded Elementary Enrollmnet,Ungraded Secondary Enrollment,Total Enrollment,Diploma Offered,Graduates 2015,Full Time Teachers,Part Time Teachers,Administrative Staff,Other Staff,Offers Special Education Services,Tax Exempt 501,Tax Exempt 23701,Tax Exempt 214,Tax Exempt,Religious Classification,Religious Denomination,Director/Principal Officer Salutation,Director/Principal Officer First Name,Director/Principal Officer Last Name,Director/Principal Officer Title,Director/Principal Officer Email,Custodian of Records Salutation,Custodian of Records First Name,Custodian of Records Last Name,Custodian of Records Email
170332,Alameda,01611926975999,Bayside Seventh-day Adventist Christian,26400 Gading Road,Hayward,CA,94544,,,,,510-785-1313,robert.robinson@nccsda.com,,Hayward Unified,Mr.,Robert,Robinson,Principal,robert.robinson@nccsda.com,Coeducational,Day Only,K,8,6,2,1,2,4,2,1,1,1,0,0,0,0,0,0,20,No,0,2,0,0,1,No,Yes,No,No,Yes,Religious,Seventh-day Adventist,Mrs.,Coreen,Hicks,Superintendent,superintendent@nccsda.com,Mr.,Bill,Keresoma,superintendent@nccsda.com
184919,Alameda,01612596928725,Beacon School dba Beacon Day School,2101 Livingston Street,Oakland,CA,94606,,,,,510-436-4466,jhayes@beaconday.org,frontdesk@beaconday.org,Oakland Unified,Ms.,Suzanne,Abbey,Head of School,sabbey@beaconday.org,Coeducational,Day Only,K,8,5,5,5,10,5,13,14,12,10,0,0,0,0,0,0,79,No,0,11,1,3,3,No,Yes,No,No,Yes,Non-religious,,Ms.,Julia,HayesCatania,Administrator,jhayes@beaconday.org,Ms.,Suzanne,Abbey,sabbey@beaconday.org
179387,Alameda,01612596967475,Bentley,1 Hiller Drive,Oakland,CA,94618,1000 Upper Happy Valley Road,Lafayette,CA,94549,510-843-2512,afhogan@bentleyschool.net,istahl@bentleyschool.net,Oakland Unified,Ms.,Arlene,Hogan,Head of School,afhogan@bentleyschool.net,Coeducational,Day Only,K,8,34,35,40,37,42,41,41,52,36,0,0,0,0,0,0,358,No,0,33,9,4,25,No,Yes,No,No,Yes,Non-religious,,Dr.,Laura,Konigsberg,Other,lkonigsberg@bentleyschool.net,Ms.,Gina,Raible,graible@bentleyschool.net
179391,Alameda,01611436142236,Berkeley Rose School,2138 Cedar Street,Berkeley,CA,94709,"1442A Walnut Street, Number 395",Berkeley,CA,94709,510-859-7679,info@berkeleyrose.org,,Berkeley Unified,Ms.,Judith,Wares,Other,judith@berkeleyrose.org,Coeducational,Day Only,K,3,28,13,16,8,0,0,0,0,0,0,0,0,0,0,0,65,No,0,7,9,2,2,No,Yes,No,No,Yes,Non-religious,,Ms.,Audrey,Lee,Other,alee@berkeleyrose.org,Ms.,Judith,Wares,judith@berkeleyrose.org
187385,Alameda,01611436972723,Berkwood Hedge,1809 Bancroft Way,Berkeley,CA,94703,,,,,510-883-6990,debbie@berkwood.org,,Berkeley Unified,Ms.,Debbie,Lloyd,Other,debbie@berkwood.org,Coeducational,Day Only,K,5,16,17,14,15,19,14,0,0,0,0,0,0,0,0,0,95,No,0,6,18,5,1,No,Yes,No,No,Yes,Non-religious,,Ms.,Love,Weinstock,Head of School,love@berkwood.org,Ms.,Debbie,Lloyd,debbie@berkwood.org
182730,Alameda,01612596932784,Bishop O'Dowd High School,9500 Stearns Avenue,Oakland,CA,94605,,,,,510-577-9100,jgrell@bishopodowd.org,cgaravaglia@bishopodowd.org,Oakland Unified,Dr.,Stephen,Phelps,President,sphelps@bishopodowd.org,Coeducational,Day Only,9,12,0,0,0,0,0,0,0,0,0,295,311,307,262,0,0,1175,No,295,78,10,23,44,No,Yes,Yes,Yes,Yes,Religious,Roman Catholic,Mrs.,Pamela,Shay,Principal,pshay@bishopodowd.org,Mrs.,Kathy,S,ksoller@bishopodowd.org
172678,Alameda,01611436989784,Black Pine Circle School,2027 Seventh Street,Berkeley,CA,94710,,,,,510-845-0876,jcarlstroem@blackpinecircle.org,,Berkeley Unified,Mr.,John,Carlstroem,Head of School,JCarlstroem@blackpinecircle.org,Coeducational,Day Only,K,8,16,22,18,24,21,20,63,62,58,0,0,0,0,0,0,304,No,0,38,15,14,2,No,Yes,No,Yes,Yes,Non-religious,,Mr.,John,Carlstroem,Head of School,JCarlstroem@blackpinecircle.org,Mrs.,Susan,Angel,SAngel@blackpinecircle.org
174069,Alameda,01611196143754,California Crosspoint High School,1501 Harbor Bay Parkway,Alameda,CA,94502,,,,,510-995-5333,info@cchsrams.org,,Alameda Unified,Mr.,Robin,Hom,Superintendent,RobinHom@cchsrams.org,Coeducational,Day Only,9,12,0,0,0,0,0,0,0,0,0,36,62,41,59,0,0,198,Yes,48,24,5,8,6,No,Yes,Yes,Yes,Yes,Religious,Not affiliated with any denomination,Mrs.,Gloria,Ong,Principal,GloriaOng@cchsrams.org,Mrs.,Christine,Hom,ChristineHom@cchsrams.org
169046,Alameda,01613096972624,Calvary Lutheran Elementary,17200 Via Magdalena,San Lorenzo,CA,94580,,,,,510-278-2598,mluehrs@calvaryslz.org,schoolsecretary@calvaryslz.org,San Lorenzo Unified,Dr.,Michael,Chivalette,Superintendent,drc@calvaryslz.org,Coeducational,Day Only,K,8,13,15,8,11,7,10,7,6,11,0,0,0,0,0,0,88,No,0,6,4,2,1,No,Yes,No,No,Yes,Religious,Lutheran,Mrs.,Marjorie,Luehrs,Principal,mluehrs@calvaryslz.org,Mrs.,Nancyu,Schibler,schoolsecretary@calvaryslz.org
176767,Alameda,01612007047467,Celebration Academy,1135 Bluebell Drive,Livermore,CA,94551,,,,,925-455-4250,celebrationacademyrecords1@gmail.com,,Livermore Valley Joint Unified,Mr.,Larry,Ihrig,Principal,skuchta@celebrationcc.org,Coeducational,Day Only,1,12,0,8,4,7,9,5,12,5,7,9,5,8,9,0,0,88,Yes,1,46,0,1,4,No,No,No,No,No,Religious,Not affiliated with any denomination,Mrs.,Cindi,Mackanic,Director,,Mrs.,Kim,Nixon,celebrationacademyrecords1@gmail.com
173616,Alameda,01612347091234,Challenger - Newark,39600 Cedar Boulevard,Newark,CA,94560,,,,,510-770-1771,lhuang@challengerschool.com,,Newark Unified,Mrs.,Avni,Shah,Director,ashah@challengerschool.com,Coeducational,Day Only,K,K,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,No,0,3,3,1,2,No,Yes,Yes,Yes,Yes,Non-religious,,Mr.,David,Mounteer,Executive Director,,Mrs.,Avni,Shah,
173592,Alameda,01612347055411,Challenger–Ardenwood,35487 Dumbarton Court,Newark,CA,94560,,,,,510-739-0300,lhuang@challengerschool.com,,Newark Unified,Mrs.,Daisy,Salazar,Head of School,dsalazar@challengerschool.com,Coeducational,Day Only,K,8,116,137,106,93,92,83,68,54,45,0,0,0,0,0,0,794,No,0,41,2,5,37,No,Yes,Yes,Yes,Yes,Non-religious,,Mr.,David,Mounteer,Executive Director,,Mrs.,Daisy,Salazar,
169266,Alameda,01611196204697,Chinese Christian Schools–Alameda,1801 North Loop Road,Alameda,CA,94502,,,,,510-522-0200,office@ccs-rams.org,EdwardYue@ccs-rams.org,Alameda Unified,Mr.,Edward,Yue,Principal,EdwardYue@ccs-rams.org,Coeducational,Day Only,K,8,47,42,46,37,32,43,39,37,27,0,0,0,0,0,0,350,No,0,27,0,3,29,No,Yes,No,No,Yes,Religious,Not affiliated with any denomination,Mr.,Edward,Yue,Principal,EdwardYue@ccs-rams.org,Mrs.,Cindy,Loh,CindyLoh@ccs-rams.org
185042,Alameda,01612596140735,Cornerstone Christian Academy,3535 38th Avenue,Oakland,CA,94619,,,,,510-530-9166,cca3535@aol.com,,Oakland Unified,Ms.,Tammy,Bratcher,Principal,cca3535@aol.com,Coeducational,Day Only,K,5,7,1,5,0,1,2,0,0,0,0,0,0,0,0,0,16,No,0,3,0,1,0,No,Yes,No,No,Yes,Religious,Baptist,Dr.,Lester,Cannon,Executive Director,cca3535@aol.com,Ms.,Tammy,Bratcher,cca3535@aol.com
173917,Alameda,01612756972632,Corpus Christi Elementary,One Estates Drive,Piedmont,CA,94611,,,,,510-530-4056,kmurphy@csdo.org,lshahab@csdo.org,Piedmont City Unified,Ms.,Kathleen,Murphy,Principal,kmurphy@csdo.org,Coeducational,Day Only,K,8,29,31,29,30,32,32,30,30,26,0,0,0,0,0,0,269,No,0,13,5,3,16,Yes,Yes,Yes,Yes,Yes,Religious,Roman Catholic,Sr.,Barbara,Bray,Superintendent,bbray@csdo.org,Ms.,Kelsey,Christie,kchristie@csdo.org
184677,Alameda,01611196147607,Da Vinci Center for Gifted Children,508 Taylor Avenue,Alameda,CA,94501,,,,,510-219-9410,ourgiftedchildren@yahoo.com,,Alameda Unified,Ms.,Catherine,Cook,Head of School,ourgiftedchildren@yahoo.com,Coeducational,Day Only,K,6,2,2,2,2,2,1,2,0,0,0,0,0,0,0,0,13,No,0,3,2,1,1,Yes,No,No,No,No,Non-religious,,Ms.,Catherine,Cook,Administrator,ccook68@att.net,Ms.,Catherine,Cook,ccook68@att.net
182323,Alameda,01612597095292,Dr. Herbert Guice Christian Academy,6925 International Boulevard,Oakland,CA,94621,,,,,510-729-0330,aangeloguiceacademy@gmail.com,,Oakland Unified,Ms.,Adria,Angelo,Director,aangeloguiceacademy@gmail.com,Coeducational,Day Only,K,5,13,4,4,3,1,6,0,0,0,0,0,0,0,0,0,31,No,0,3,2,1,9,No,Yes,No,No,Yes,Religious,Baptist,Ms.,Adria,Angelo,Director,,Ms.,Della,Wilson,dwilsonguiceacademy@gmail.com
174382,Alameda,01612426150932,East Bay Home School,31367 Santa Fe Way,Union City,CA,94587,,,,,415-602-7949,valerie@eastbayhomeschool.org,,New Haven Unified,Mrs.,Valerie,Jaeger,Head of School,valerie@eastbayhomeschool.org,Coeducational,Day Only,K,12,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,11,No,0,1,0,0,0,No,No,No,No,No,Non-religious,,Mrs.,Valerie,Jaeger,Head of School,,Miss,Valerie,Jaeger,valerie@eastbayhomeschool.org
175491,Alameda,01611436900757,Ecole Bilingue De Berkeley,1009 Heinz Avenue,Berkeley,CA,94710,,,,,510-549-3867,contact@eb.org,fcanadas@eb.org,Berkeley Unified,Mr.,Frederic,CANADAS,Head of School,fcanadas@eb.org,Coeducational,Day Only,K,8,55,61,62,45,56,53,36,46,35,0,0,0,0,0,0,449,No,0,39,8,7,37,No,Yes,No,No,Yes,Non-religious,,Mrs.,Emma,GIMON,President,emma@gimon.org,Mr.,Thierry,DURANDARD,tdurandard@eb.org
189844,Alameda,01612006151682,Elite Self-Defense Academy,2247 2nd Street,Livermore,CA,94550,,,,,925-449-5715,dreamusa1@gmail.com,,Livermore Valley Joint Unified,Mr.,John,Pfund,Administrator,dreamusa1@gmail.com,Coeducational,Day Only,K,7,1,0,2,0,3,1,0,1,0,0,0,0,0,0,0,8,No,0,1,1,0,2,No,No,No,No,No,Non-religious,,Mr.,John,Pfund,Administrator,dreamusa1@gmail.com,Mr.,John,Pdfund,
173886,Alameda,01612596138184,Escuela Bilingüe Internacional,410 Alcatraz Avenue,Oakland,CA,94609,,,,,510-653-3324,jfulk@ebinternacional.org,info@ebinternacional.org,Oakland Unified,Ms.,Pat,Takahashi,Director,ptakahashi@ebinternacional.org,Coeducational,Day Only,K,8,43,46,42,34,36,27,25,24,6,0,0,0,0,0,0,283,No,0,41,14,16,11,No,Yes,No,No,Yes,Non-religious,,Mr.,Jon,Fulk,Head of School,jfulk@ebinternacional.org,Ms.,Ana,Hoover,ahoover@ebinternacional.org
182313,Alameda,01750936995641,Fountainhead Montessori School,6670 Amador Plaza Road,Dublin,CA,94568,"6665 Amador Plaza Road, Suite 200",Dublin,CA,94568,925-820-1343,info@fms.org,,Dublin Unified,Ms.,Mary,Cooper,Director,mary@fms.org,Coeducational,Day Only,K,2,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,No,0,2,2,1,0,No,Yes,No,No,Yes,Non-religious,,Ms.,Ais,Her,Administrator,ais@fms.org,Ms.,Shandy,Cole,shandy@fms.org
169774,Alameda,01612596909832,Fred Finch–Oakland Hills Academy,3800 Coolidge Avenue,Oakland,CA,94602,,,,,510-482-2244,marsmith@fredfinch.org,traceytashiro@fredfinch.org,Oakland Unified,Mrs.,Mar,Smith,Administrator,marsmith@fredfinch.org,Coeducational,Both,6,12,0,0,0,0,0,0,0,0,1,1,1,3,5,0,1,12,Yes,0,2,0,2,8,Yes,Yes,No,No,Yes,Non-religious,,Ms.,Tracey,Tashiro,Principal,traceytashiro@fredfinch.org,Ms.,Khatera,Karimi,khaterakarimi@fredfinch.org
177171,Alameda,01611766909840,Fremont Christian School,4760 Thornton Avenue,Fremont,CA,94536,,,,,510-744-2233,tmeyer@fremontchristian.com,smiller@fremontchristian.com,Fremont Unified,Dr.,Tricia,Meyer,Head of School,tmeyer@fremontchristian.com,Coeducational,Day Only,K,12,41,41,38,34,35,27,36,49,41,34,52,63,56,0,0,547,Yes,54,45,3,9,12,No,Yes,No,No,Yes,Religious,Assembly of God,Rev.,Terry,Inman,President,,Mrs.,Sherry,Miller,smiller@fremontchristian.com
185078,Alameda,01611766139778,Genius Kids Inc,4966 Paseo Padre Parkway,Fremont,CA,94555,3645 Mowry Avenue,Fremont,CA,94538,510-713-2431,info@geniuskidsonline.com,,Fremont Unified,Ms.,Rennu,Dhillon,President,rennud@gmail.com,Coeducational,Day Only,K,6,25,25,25,25,10,10,4,0,0,0,0,0,0,0,0,124,No,0,6,3,1,3,No,No,No,No,No,Non-religious,,Ms.,Shana,Nijjar,Other,shana.geniuskids@gmail.com,Ms.,Rennu,Dhillon,rennud@gmail.com
179470,Alameda,01611436148506,German Int'l School of Silicon Valley,1581 Le Roy Avenue,Berkeley,CA,94708,,,,,510-558-0436,office@gissv.org,,Berkeley Unified,Mr.,Martin,Walter,Principal,mwalter@gissv.org,Coeducational,Day Only,K,8,12,10,11,8,3,7,13,6,9,0,0,0,0,0,0,79,No,0,11,3,3,3,No,Yes,No,No,Yes,Non-religious,,Mr.,Martin,Fugmann,Head of School,mfugmann@gissv.org,Ms.,Anja,Friebe,afriebe@gissv.org
188437,Alameda,01612597083397,Growing Light Montessori School,4700 Lincoln Avenue,Oakland,CA,94602,,,,,510-336-9897,glms4u@growinglight.net,,Oakland Unified,Ms.,Paula,Cancienne,Director,shivani@growinglight.net,Coeducational,Day Only,K,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,No,0,1,2,2,1,No,No,No,No,No,Non-religious,,Ms.,Rachel,LaField,Head of School,rachel@growinglight.net,Mrs.,Hyejin,Lee,
169452,Alameda,01751017082761,Hacienda School,3800 Stoneridge Drive,Pleasanton,CA,94588,,,,,925-485-5750,jcamara@headsup.org,,Pleasanton Unified,Mrs.,Jo Anne,Camara,Director,jcamara@headsup.org,Coeducational,Day Only,1,8,0,10,10,14,14,7,9,0,0,0,0,0,0,0,0,64,No,0,8,5,1,1,No,No,No,No,No,Non-religious,,Mrs.,Jo Anne,Camara,Director,jcamara@headsup.org,Mrs.,Jo Anne,Camara,jcamara@headsup.org
187401,Alameda,01612596932925,Head-Royce School,4315 Lincoln Avenue,Oakland,CA,94602,,,,,510-531-1300,cland@headroyce.org,sbaheti@headroyce.org,Oakland Unified,Ms.,Shahana,Sarkar,Administrator,ssarkar@headroyce.org,Coeducational,Day Only,K,12,35,39,40,45,41,40,92,89,89,94,90,88,91,0,0,873,Yes,94,92,7,10,41,No,Yes,No,No,Yes,Non-religious,,Ms.,Crystal,Land,Head of School,cland@headroyce.org,Ms.,Shahana,Sarkar,ssarkar@headroyce.org
169126,Alameda,01612596932941,Holy Names High School,4660 Harbord Drive,Oakland,CA,94618,,,,,510-450-1110,registrar@hnhsoakland.org,jcasella@hnhsoakland.org,Oakland Unified,Ms.,Constance,Hubbard,Principal,chubbard@hnhsoakland.org,Girls Only,Day Only,9,12,0,0,0,0,0,0,0,0,0,28,32,31,30,0,0,121,Yes,0,7,10,4,10,No,Yes,No,Yes,Yes,Religious,Roman Catholic,Ms.,Constance,Hubbard,Principal,chubbard@hnhsoakland.org,Ms.,Linda,Brownell,lbrownell@hnhsoakland.org
183744,Alameda,01611766972731,Holy Spirit Elementary,3930 Parish Avenue,Fremont,CA,94536,,,,,510-793-3553,holyspiritschool@csdo.org,,Fremont Unified,Ms.,Jennifer,Fields,Other,jfields@csdo.org,Coeducational,Day Only,K,8,28,34,14,32,27,23,23,29,29,0,0,0,0,0,0,239,No,0,13,1,1,21,No,Yes,No,No,Yes,Religious,Roman Catholic,Ms.,Maureen,Christensen,Principal,mchristensen@csdo.org,Ms.,Jennifer,Fields,jfields@csdo.org
183878,Alameda,01612596143382,I.Q.R.A.A. Educational Academy & Services,3330 65th Avenue,Oakland,CA,94605,,,,,510-577-7903,iqraa1984@gmail.com@gmail.com,,Oakland Unified,Sr.,Khariyyah,Muhammad-Bradshaw,Executive Director,litnmotion@gmail.com,Coeducational,Day Only,K,12,3,5,0,0,0,0,6,9,2,0,5,11,10,0,0,51,Yes,0,9,7,5,3,No,Yes,No,No,Yes,Non-religious,,Sr.,Khariyyah,Muhammad-Bradshaw,Principal,iqraa1984@gmail.com,Sr.,Majeedah,Shabazz,litnmotion@gmail.com
180378,Alameda,01612596151062,IC Community School,3829 Forest Hill Avenue,Oakland,CA,94602,,,,,415-637-4243,iccommunity@yahoo.com,,Oakland Unified,Mrs.,Kristina,Mundera,Director,iccommunity@yahoo.com,Coeducational,Day Only,K,2,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,13,No,0,3,0,0,0,No,No,No,No,No,Non-religious,,Mrs.,Kristina,Mundera,Director,iccommunity@yahoo.com,Mrs.,Kristina,Mundera,iccommunity@yahoo.com
178319,Alameda,01612597072606,Ile Omode School,8924 Holly Street,Oakland,CA,94621,,,,,510-632-8230,kelly.kouyate@ileomode.org,kelly.kouyate@ileomode.org,Oakland Unified,Mr.,Jahi,Awakoaiye,Director,babajahi@ileomode.org,Coeducational,Day Only,K,8,11,11,8,10,9,9,11,8,4,0,0,0,0,0,0,81,No,0,7,4,1,5,No,Yes,No,No,Yes,Non-religious,,Mr.,Jahi,Awakoaiye,Director,babajahi@ileomode.org,Mrs.,Kelly,Kouyate,kelly.kouyate@ileomode.org
169345,Alameda,01611766140461,ILM Academy,4211 Carol Avenue,Fremont,CA,94538,,,,,510-936-1572,principal@theilmacademy.com,,Fremont Unified,Mrs.,Huma,Bokharey,Administrator,principal@theilmacademy.com,Coeducational,Day Only,K,7,28,26,19,14,18,10,8,3,0,0,0,0,0,0,0,126,No,0,10,2,1,2,No,Yes,No,No,Yes,Religious,Islamic,Mrs.,Huma,Bokharey,Principal,,Mrs.,Huma,Bokharey,
181323,Alameda,01612917092612,International Bible Baptist Academy,15963 Marcella Street,San Leandro,CA,94578,,,,,510-276-4222,ibbcoffice@ibbcministries.org,,San Lorenzo Unified,Dr.,Jose Hernes,Abante,Administrator,jhabante@aol.com,Coeducational,Day Only,K,8,3,4,0,6,1,2,0,1,0,0,0,0,0,0,0,17,No,0,6,0,2,1,No,Yes,No,No,Yes,Religious,Baptist,Mrs.,Narcisa,Bico,Principal,biconancy@yahoo.com,Mrs.,Elizabeth,Ducusin,ibbcoffice@ibbcministries.org
186696,Alameda,01613097072218,International Christian School,562 Lewelling Boulevard,San Leandro,CA,94579,,,,,510-351-3684,vbeardsley@icseastbay.com,vgonzalez@icseastbay.com,Alameda County Office of Education,Mrs.,Victoria,Beardsley,Principal,vbeardsley@icseastbay.com,Coeducational,Day Only,6,12,0,0,0,0,0,0,7,1,5,1,9,14,8,0,0,45,Yes,8,2,3,2,0,No,Yes,No,No,Yes,Religious,Assembly of God,Mrs.,Veronica,Gonzalez,Other,veronica.alizabeth.90@yahoo.com,Miss,veronica,Gonzalez,vgonzalez@icseastbay.com
