"California Department of Education, Title II Leadership Office",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-13 Private School Affidavit Data - Schools with Enrollment of Six or More Students (August 5, 2013)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affidavit ID,County,CDS Code,School ,Street,City,State,Zip,Mailing Street,Mailing City,Mailing State,Mailing Zip,Telephone,Email ,Email2,Public District,Site Administrator Salutation,Site Administrator First Name,Site Administrator Last Name,Site Administrator Title,Site Administrator Email,School Type,School Accommodations,Low Grade,High Grade,Kindergarten Enrollment,Grade 1 Enrollment,Grade 2 Enrollment,Grade 3 Enrollment,Grade 4 Enrollment,Grade 5 Enrollment,Grade 6 Enrollment,Grade 7 Enrollment,Grade 8 Enrollment,Grade 9 Enrollment,Grade 10 Enrollment,Grade 11 Enrollment,Grade 12 Enrollment,Ungraded Elementary Enrollmnet,Ungraded Secondary Enrollment,Total Enrollment,Diploma Offered,Graduates 2012,Full Time Teachers,Part Time Teachers,Administrative Staff,Other Staff,Offers Special Education,Tax Exempt 501,Tax Exempt 23701,Tax Exempt 214,Tax Exempt,Religious Classification,Religious Denomination,Director/Principal Officer Salutation,Director/Principal Officer First Name,Director/Principal Officer Last Name,Director/Principal Officer Title,Director/Principal Officer Email,Custodian of Records Salutation,Custodian of Records First Name,Custodian of Records Last Name,Custodian of Records Email
130829,Alameda,01612597071632,Aurora School,40 Dulwich Road,Oakland,CA,94618,,,,,510-428-2606,abbie@auroraschool.org,darlene@auroraschool.org,Oakland Unified,Ms.,Abigayil,Koss,Executive Director,abbie@auroraschool.org,Coeducational,Day Only,K,5,22,26,22,23,23,10,0,0,0,0,0,0,0,0,0,126,No,0,12,8,7,4,No,Yes,No,No,Yes,Non-religious,,Ms.,Abigayil,Koss,Executive Director,abbie@auroraschool.org,Mrs.,Darlene,Richard,darlene@auroraschool.org
130781,Alameda,01611766142459,Averroes Institute,43174 Osgood Road,Fremont,CA,94539,,,,,510-423-2052,info@averroesinstitute.com,,Fremont Unified,Mrs.,Reem,BIlbeisi,Director,reem@averroesinstitute.com,Coeducational,Day Only,9,10,0,0,0,0,0,0,0,0,0,12,13,0,0,0,0,25,No,0,4,5,0,0,No,Yes,No,No,Yes,Religious,Islamic,Miss,Reem,BIlbeisi,Principal,,Miss,Reem,Bilbeisi,reem@averroesinstitute.com
117170,Alameda,01612590117002,Bayhill High School,521 Boden Way,Oakland,CA,94610,,,,,510-268-1500,lobell@bayhillhs.org,,Oakland Unified,Ms.,Shelley,Lobell,Executive Director,lobell@bayhillhs.org,Coeducational,Day Only,9,12,0,0,0,0,0,0,0,0,0,13,21,14,21,0,0,69,Yes,16,8,2,3,8,Yes,Yes,No,No,Yes,Non-religious,,Ms.,Shelley,Lobell,Executive Director,,Ms.,Christina,Sancez,sanchez@bayhillhs.org
118261,Alameda,01611926975999,Bayside Seventh-day Adventist Christian,26400 Gading Road,Hayward,CA,94544,,,,,510-785-1313,joplin.deborah@gmail.com,,Hayward Unified,Mrs.,Deborah,Joplin,Principal,joplin.deborah@gmail.com,Coeducational,Day Only,K,8,1,5,6,2,3,5,3,2,4,0,0,0,0,0,0,31,No,0,2,0,0,1,No,Yes,No,No,Yes,Religious,Seventh-day Adventist,Mrs.,Coreen,Hicks,Superintendent,superintendent@nccsda.com,Mr.,Bill,Keresoma,superintendent@nccsda.com
129416,Alameda,01612596928725,Beacon School,2101 Livingston Street,Oakland,CA,94606,,,,,510-436-4466,jcatania@beaconday.org,,Oakland Unified,Mrs.,Jan,Stone,Executive Director,jstone@beaconday.org,Coeducational,Day Only,K,8,17,9,20,14,13,17,17,24,19,0,0,0,0,0,0,150,No,0,21,13,5,4,No,Yes,No,No,Yes,Non-religious,,Ms.,Julia,Catania,Director,JCatania@beaconday.org,Ms.,Jacqueline,Ortega,JOrtega@beaconday.org
124802,Alameda,01612596967475,Bentley,1 Hiller Drive,Oakland,CA,94618,,,,,510-843-2512,afhogan@bentleyschool.net,,Oakland Unified,Ms.,Arlene,Hogan,Head of School,afhogan@bentleyschool.net,Coeducational,Day Only,K,8,33,34,33,30,40,31,41,39,34,0,0,0,0,0,0,315,No,0,27,9,6,27,No,Yes,No,Yes,Yes,Non-religious,,Mr.,Brian,Thomas,Principal,bthomas@bentleyschool.net,Ms.,Gina,Raible,graible@bentleyschool.net
130262,Alameda,01611436142236,Berkeley Rose School,2138 Cedar Street,Berkeley,CA,94709,,,,,510-859-7679,alee@berkeleywaldorf.org,enrollment@berkeleywaldorf.org,Berkeley Unified School District,Ms.,Audrey,Lee,President,alee@berkeleywaldorf.org,Coeducational,Day Only,K,2,8,3,8,0,0,0,0,0,0,0,0,0,0,0,0,19,No,0,3,3,3,1,No,Yes,No,No,Yes,Non-religious,,Ms.,Leah,Redwood,Other,enrollment@berkeleywaldorf.org,Ms.,Leah,Redwood,enrollment@berkeleywaldorf.org
130369,Alameda,01611436972723,Berkwood Hedge,1809 Bancroft Way,Berkeley,CA,94703,,,,,510-883-6990,ravi@berkwood.org,,Berkeley Unified,Mr.,Ravi,Pursley,Administrator,ravi@berkwood.org,Coeducational,Day Only,K,5,15,18,16,17,14,20,0,0,0,0,0,0,0,0,0,100,No,0,6,10,4,9,No,Yes,No,No,Yes,,,Mrs.,Love,Weinstock,Director,love@berkwood.org,Mr.,Ravi,Pursley,ravi@berkwood.org
117923,Alameda,01611767089451,Bethel Christian Academy,36060 Fremont Boulevard,Fremont,CA,94536,,,,,510-795-1234,fremontbca@yahoo.com,,Fremont Unified,Rev.,William,Kintner,Headmaster,pastorkintner@yahoo.com,Coeducational,Day Only,K,8,3,4,9,5,8,5,3,7,3,0,0,0,0,0,0,47,No,0,4,2,1,2,No,Yes,Yes,No,Yes,Religious,Not affiliated with any denomination,Mr.,William,Kintner,Principal,PastorKintner@yahoo.com,Mr.,Anthony,Gacayan,fremontbca@yahoo.com
123063,Alameda,01612596932784,Bishop O'Dowd High School,9500 Stearns Avenue,Oakland,CA,94605,,,,,510-577-9100,pshay@bishopodowd.org,jgrell@bishopodowd.org,Oakland Unified,Dr.,Stephen,Phelps,President,sphelps@bishopodowd.org,Coeducational,Day Only,9,12,0,0,0,0,0,0,0,0,0,295,322,252,275,0,0,1144,No,296,77,4,18,29,No,Yes,Yes,Yes,Yes,Religious,Roman Catholic,Mrs.,Pam,Shay,Principal,pshay@bishopodowd.org,Mrs.,Kathy,Soller,ksoller@bishopodowd.org
129998,Alameda,01611436989784,Black Pine Circle School,2027 Seventh Street,Berkeley,CA,94710,,,,,510-845-0876,jcarlstroem@blackpinecircle.org,bshea@blackpinecircle.org,Berkeley Unified,Mr.,John,Carlstroem,Head of School,jcarlstroem@blackpinecircle.org,Coeducational,Day Only,K,8,21,19,19,22,23,22,48,47,43,0,0,0,0,0,0,264,No,0,23,17,11,9,No,Yes,No,No,Yes,Non-religious,,Mr.,John,Carlstroem,Head of School,jcarlstroem@blackpinecircle.org,Mr.,William,Shea,bshea@blackpinecircle.org
130893,Alameda,01613096972624,Calvary Lutheran Elementary,17200 Via Magdalena,San Lorenzo,CA,94580,,,,,510-278-2598,fbrauer@calvaryslz.org,,San Lorenzo Unified,Mr.,Fred,Brauer,Principal,fbrauer@calvaryslz.org,Coeducational,Day Only,K,8,15,6,9,12,3,10,9,11,9,0,0,0,0,0,0,84,No,0,6,4,1,2,No,Yes,No,No,Yes,Religious,Lutheran,Mr.,Fred,Brauer,Principal,fbrauer@calvaryslz.org,Mr.,Fred,Brauer,fbrauer@calvaryslz.org
123380,Alameda,01612007047467,Celebration Academy,1135 Bluebell Drive,Livermore,CA,94551,,,,,925-455-4250,celebrationacademy.records@gmail.com,,Livermore Valley Joint Unified,Mr.,Larry,Ihrig,Principal,lihrig@celebrationcc.org,Coeducational,Day Only,1,12,0,7,3,8,4,4,12,4,8,7,2,6,3,0,0,68,Yes,1,39,0,1,3,No,No,No,No,No,Religious,Not affiliated with any denomination,Mrs.,Cindi,Mackanic,Director,,Mrs.,Grace,Young,CelebrationAcademy.Records@gmail.com
123224,Alameda,01612347091234,Challenger - Newark,39600 Cedar Boulevard,Newark,CA,94560,,,,,510-770-1771,,,Newark Unified,Ms.,Isabel,De La Herran,Director,idelaherran@challengerschool.com,Coeducational,Day Only,K,K,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,No,0,2,0,1,1,No,No,No,No,No,Non-religious,,Mr.,Dave,Mounteer,Executive Director,,Ms.,Isabel,De La Herran,
123195,Alameda,01612347055411,Challenger–Ardenwood,35487 Dumbarton Court,Newark,CA,94560,,,,,510-739-0300,,,Newark Unified,Mr.,Joseph,Morrison,Headmaster,jmorrison@challengerschool.com,Coeducational,Day Only,K,8,125,143,125,107,90,80,61,58,56,0,0,0,0,0,0,845,No,0,39,4,3,33,No,No,No,No,No,Non-religious,,Mr.,Dave,Mounteer,Executive Director,,Mr.,Joseph,Morrison,
117184,Alameda,01611197094865,Children's Learning Center,2152 Central Avenue,Alameda,CA,94501,,,,,510-769-7100,kcoffin@clcalameda.com,ecohen@clcalameda.com,Alameda City Unified,Mr.,Kody,Coffin,Other,kcoffin@clcalameda.com,Coeducational,Day Only,K,5,0,3,1,3,1,1,0,0,0,0,0,0,0,0,0,9,No,0,2,0,1,8,Yes,Yes,No,No,Yes,Non-religious,,Dr.,Esther,Cohen,Executive Director,ecohen@clcalameda.com,Ms.,Tina,Borrell,tborrell@clcalameda.com
120396,Alameda,01611196979140,Children's Learning Center,1910 Central Avenue,Alameda,CA,94501,,,,,510-769-7100,tborrell@clcalameda.com,,Alameda City Unified,Dr.,Esther,Cohen,Executive Director,ecohen@clcalameda.com,Coeducational,Day Only,6,12,0,0,0,0,0,0,8,11,13,13,10,9,4,0,0,68,No,11,8,1,1,20,Yes,Yes,No,No,Yes,Non-religious,,Dr.,Esther,Cohen,Executive Director,,Ms.,Tina,Borrell,tborrell@clcalameda.com
118482,Alameda,01611196139018,Chinese American Schools - Alameda,1501 Harbor Bay Parkway,Alameda,CA,94502,14973 Riverdale Street,San Leandro,CA,94578,510-814-7321,info@casalameda.org,RobinHom@aol.com,Alameda City Unified,Mr.,Robin,Hom,Superintendent,RobinHom@aol.com,Coeducational,Day Only,9,12,0,0,0,0,0,0,0,0,0,5,18,27,17,0,0,67,No,0,0,2,1,0,No,Yes,Yes,Yes,Yes,Non-religious,,Mr.,John,Tsern,Director,info @casalameda.org,Mr.,Robin,Hom,RobinHom@aol.com
118503,Alameda,01611196143754,Chinese Christian High School,1501 Harbor Bay Parkway,Alameda,CA,94502,,,,,510-522-0200,info@cchsrams.org,RobinHom@cchsrams.org,Alameda City Unified,Mr.,Robin,Hom,Superintendent,RobinHom@aol.com,Coeducational,Day Only,9,12,0,0,0,0,0,0,0,0,0,47,50,57,69,0,0,223,Yes,49,37,4,4,5,No,Yes,Yes,Yes,Yes,Religious,Evangelical,Mrs.,Gloria,Ong,Principal,GloriaOng@cchsrams.org,Mr.,Robin,Hom,RobinHom@aol.com
120270,Alameda,01611196204697,Chinese Christian Schools–Alameda,1801 North Loop Road,Alameda,CA,94502,,,,,510-522-0200,ccsalameda@ccs-rams.org,richardporter@ccs-rams.org,Alameda City Unified,Dr.,Richard,Porter,Principal,richardporter@ccs-rams.org,Coeducational,Day Only,K,8,13,14,21,20,17,20,16,23,18,0,0,0,0,0,0,162,No,0,15,4,2,6,No,Yes,No,No,Yes,Religious,Evangelical,Dr.,Richard,Porter,Principal,,Mrs.,Cindy,Loh,cindyloh@ccs-rams.org
119718,Alameda,01613096932800,Chinese Christian Schools–San Leandro,750 Fargo Avenue,San Leandro,CA,94579,,,,,510-351-4957,edwardyyue@ccs-rams.org,officestaff@ccs-rams.org,San Lorenzo Unified,Mr.,Edward,Yue,Principal,edwardyue@ccs-rams.org,Coeducational,Day Only,K,8,38,26,36,39,36,22,21,27,18,0,0,0,0,0,0,263,No,0,22,5,2,14,No,Yes,No,No,Yes,Religious,Interdenominational,Mr.,Edward,Yue,Principal,EdwardYue@ccs-rams.org,Mrs.,Cindy,Loh,CindyLoh@ccs-rams.org
118477,Alameda,01612756972632,Corpus Christi Elementary,One Estates Drive,Piedmont,CA,94611,,,,,510-530-4056,kmurphy@csdo.org,jgarcia@csdo.org,Piedmont City Unified,Ms.,Kathleen,Murphy,Principal,kmurphy@csdo.org,Coeducational,Day Only,K,8,29,33,32,25,26,32,32,32,30,0,0,0,0,0,0,271,No,0,13,3,2,16,Yes,Yes,Yes,Yes,Yes,Religious,Roman Catholic,Ms.,Kathleen,Murphy,Principal,kmurphy@cado.org,Ms.,Kathleen,Murphy,kmurphy@csdo.org
132133,Alameda,01612596145726,Doulos Academy,152 Taurus Avenue,Oakland,CA,94611,,,,,510-601-5222,dstse_jung@yahoo.com,,Oakland Unified School District,Rev.,Derek,Jung,Principal,dstse_jung@yahoo.com,Coeducational,Day Only,K,12,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,6,Yes,0,1,1,1,0,No,No,No,No,No,Religious,Baptist,Mrs.,Sharon,Jung,Executive Director,dstse_jung@yahoo.com,Mrs.,Sharon,Jung,dstse_jung@yahoo.com
128119,Alameda,01612597095292,Dr. Herbert Guice Christian Academy,6925 International Boulevard,Oakland,CA,94621,,,,,510-729-0330,bbowman@guiceacademy.org,dwilson@guiceacademy.org,Oakland Unified,Dr.,Barbara,Bowman,Director,bbowman@guiceacademy.org,Coeducational,Day Only,K,6,5,2,5,0,2,4,6,0,0,0,0,0,0,0,0,24,No,0,4,2,1,4,No,Yes,No,No,Yes,Religious,Baptist,Dr.,Barbara,Bowman,Director,bbowman@guiceacademy.org,Ms.,Della,Wilson,dwilson@guiceacademy.org
129512,Alameda,01612596143077,E.M. University of Science & Technology,818 27th Street,Oakland,CA,94607,,,,,510-595-5543,emuatech@yahoo.com,emuatech@yahoo.com,Oakland Unified,Ms.,Michelle,Taylor,Administrator,emuatech@yahoo.com,Coeducational,Day Only,K,12,0,0,2,1,1,0,2,0,0,0,0,0,0,0,0,6,Yes,0,1,0,1,0,No,Yes,No,No,Yes,Non-religious,,Ms.,Tanya,Hall,Director,emuatech@yahoo.com,Ms.,Tanya,Hall,emuatech@yahoo.com
131462,Alameda,01611436141709,East Bay School for Boys,2340 Durant Avenue,Berkeley,CA,94707,,,,,510-621-3272,info@ebsfb.org,kaylap@ebsfb.org,Berkeley Unified,Mr.,Jason,Baeten,Head of School,jasonb@ebsfb.org,Boys Only,Day Only,6,8,0,0,0,0,0,0,28,28,26,0,0,0,0,0,0,82,No,0,7,4,3,1,No,Yes,No,No,Yes,Non-religious,,Mr.,Jason,Baeten,Head of School,jasonb@ebsfb.org,Ms.,Kayla,Patrick,kaylap@ebsfb.org
128859,Alameda,01611436900757,Ecole Bilingue De Berkeley,1009 Heinz Avenue,Berkeley,CA,94710,,,,,510-549-3867,contact@eb.org,rrountree@eb.org,Berkeley Unified,Mr.,Frederic,Canadas,Head of School,fcanadas@eb.org,Coeducational,Day Only,K,8,64,67,58,54,55,45,44,41,41,0,0,0,0,0,0,469,No,0,37,6,9,30,No,Yes,No,No,Yes,Non-religious,,Mrs.,Lynn,Van Housen,Other,lvanhousen@techsoupglobal.org,Mr.,Douglas,Mann,dmann@eb.org
129423,Alameda,01612596143101,Elijah's University for Self-Development,818 27th street,Oakland,CA,94607,,,,,510-444-2793,elijahuniversity@yahoo.com,,Oakland Unified,Mrs.,Billie,Poindexter,Administrator,elijahuniversity@yahoo.com,Coeducational,Day Only,K,12,1,2,0,1,0,0,0,1,1,0,0,0,0,0,0,6,Yes,0,1,0,1,0,No,Yes,No,No,Yes,Non-religious,,Ms.,Barbara,Goodman,Director,elijahuniversity@yahoo.com,Ms.,Latrece,Woods,elijahuniversity@yahoo.com
129853,Alameda,01611926132690,Elmhurst Learning Center,380 Elmhurst Street,Hayward,CA,94544,,,,,510-786-1289,pastormare@gmail.com,,Hayward Unified,Rev.,Marilyn,Escoto,Principal,pastormare@gmail.com,Coeducational,Day Only,K,1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,12,No,0,1,1,1,1,No,Yes,No,No,Yes,Religious,Baptist,Rev.,Marilyn,Escoto,Principal,pastormare@gmail.com,Ms.,Cheryl,Roman,mexaricangirl@gmail.com
116556,Alameda,01612596138184,Escuela Bilingüe Internacional,410 Alcatraz Avenue,Oakland,CA,94609,,,,,510-653-3324,jfulk@ebinternacional.org,gcostas@ebinternacional.org,Oakland Unified,Mr.,Jon,Fulk,Headmaster,jfulk@ebinternacional.oeg,Coeducational,Day Only,K,6,44,42,35,26,27,5,6,0,0,0,0,0,0,0,0,185,No,0,32,9,9,3,No,Yes,No,No,Yes,Non-religious,,Mr.,Jon,Fulk,Head of School,jfulk@ebinternacional.org,Mrs.,Ana,Hoover,ahoover@ebinternacional.org
122149,Alameda,01612596909832,Fred Finch–Oakland Hills Academy,3800 Coolidge Avenue,Oakland,CA,94602,,,,,510-482-2244,marsmith@fredfinch.org,,Oakland Unified,Ms.,Mar,Smith,Director,marsmith@fredfinch.org,Coeducational,Day Only,6,12,0,0,0,0,0,0,0,0,0,3,5,1,4,0,0,13,Yes,0,2,0,1,8,Yes,Yes,No,No,Yes,Non-religious,,Ms.,Mar,Smith,Director,marsmith@fredfinch.org,Ms.,Khatera,Karimi,khaterakarimi@fredfinch.org
119203,Alameda,01611766909840,Fremont Christian School,4760 Thornton Avenue,Fremont,CA,94536,,,,,510-744-2249,tmeyer@fremontchristian.com,,Fremont Unified,Dr.,Tricia,Meyer,Superintendent,tmeyer@fremontchristian.com,Coeducational,Day Only,K,12,50,39,40,46,51,56,50,64,66,64,77,90,67,0,0,760,Yes,54,44,3,7,27,No,Yes,No,No,Yes,Religious,Assembly of God,Rev.,Terry`,Inman,President,,Mrs.,Sherry,Miller,smiller@fremontchristian.com
120178,Alameda,01611766139778,Genius Kids Inc,4966 Paseo Padre Parkway,Fremont,CA,94555,,,,,510-713-2431,info@geniuskidsonline.com,rennud@gmail.com,Fremont Unified,Ms.,Rennu,Dhillon,Other,rennud@gmail.com,Coeducational,Day Only,K,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,No,0,3,0,1,1,No,No,No,No,No,Non-religious,,Ms.,Rennu,Dhillon,Other,rennud@gmail.com,Ms.,Rennu,Dhillon,rennud@gmail.com
118513,Alameda,01611436139273,Global Montessori International School,2830 9th Street,Berkeley,CA,94710,,,,,510-845-6969,office@gmis-berkeley.com,,Berkeley Unified,Ms.,Melissa,Chan,Administrator,office@gmis-berkeley.com,Coeducational,Day Only,K,6,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,10,No,0,9,0,2,4,No,No,No,No,No,Non-religious,,Ms.,Vivi,Teng,Director,office@gmis-berkeley.com,Ms.,Melissa,Chan,office@gmis-berkeley.com
129669,Alameda,01612597071970,Grand Lake Montessori,466 Chetwood Street,Oakland,CA,94610,,,,,510-836-4313,nancy@grandlakemontessori.com,helen@grandlakemontessori.com,Oakland Unified,Mrs.,Helen,Campbell,Head of School,len@grandlakemontessori.com,Coeducational,Day Only,K,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,No,0,9,1,1,3,No,Yes,No,No,Yes,Non-religious,,Mr.,Fred,Giari,President,,Ms.,Nancy,Haskins,nancy@grandlakemontessori.com
117431,Alameda,01612597083397,Growing Light Montessori,4700 Lincoln Avenue,Oakland,CA,94602,,,,,510-336-9897,glms4u@gmail.com,growinglight@me.com,Oakland Unified,Ms.,Paula,Cancienne,Director,scancienne@gmail.com,Coeducational,Day Only,K,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,No,0,2,3,2,1,No,No,No,No,No,Non-religious,,Ms.,Rachel,LaField,Head of School,growinglight@me.com,Mrs.,Hyejin,Lee,
116560,Alameda,01751017082761,Hacienda School,3800 Stoneridge Drive,Pleasanton,CA,94588,,,,,925-485-5750,jcamara@headsup.org,,Pleasanton Unified,Mrs.,Jo Anne,Camara,Director,jcamara@headsup.org,Coeducational,Day Only,1,8,0,16,9,15,4,8,3,3,7,0,0,0,0,0,0,65,No,0,8,6,2,0,No,No,No,No,No,Non-religious,,Mrs.,Jo Anne,Camara,Director,jcamara@headsup.org,Mrs.,Charlotte,Machi,cmachi@headsup.org
128820,Alameda,01612596932925,Head-Royce School,4315 Lincoln Avenue,Oakland,CA,94602,,,,,510-531-1300,dmalone@headroyce.org,rlake@headroyce.org,Oakland Unified,Mr.,Dennis,Malone,Director,dmalone@headroyce.org,Coeducational,Day Only,K,12,52,42,39,42,40,40,93,89,83,101,87,89,79,0,0,876,Yes,82,75,18,14,32,No,Yes,No,No,Yes,Non-religious,,Mr.,Rob,Lake,Head of School,rlake@headroyce.org,Mr.,Rob,Lake,rlake@headroyce.org
