2018-19 Private School Affidavit Data - Schools with Enrollment of Six or More Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"California Department of Education, Teacher and Leader Policy Office (March 21, 2019)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affidavit ID,County,CDS Code,School,Street,City,State,Zip,Mailing Street,Mailing City,Mailing State,Mailing Zip,Area Code,Phone Prefix,Phone Suffix,Email,Email2,Public District,Site Administrator Salutation,Site Administrator First Name,Site Administrator Last Name,Site Administrator Title ,Adminstrator Email,School Type,School Accomodations,Low Grade,High Grade,Diploma Offered,Low Grade2,High Grade3,Kindergarten Enrollment,Grade 1 Enrollment,Grade 2 Enrollment,Grade 3 Enrollment,Grade 4 Enrollment,Grade 5 Enrollment,Grade 6 Enrollment,Grade 7 Enrollment,Grade 8 Enrollment,Grade 9 Enrollment,Grade 10 Enrollment,Grade 11 Enrollment,Grade 12 Enrollment,Ungraded Elementary Enrollment,Ungraded Secondary Enrollment,Total Enrollment,Diploma Offered4,Graduates 2017-18,Full Time Teachers,Part Time Teachers,Administrative Staff,Other Staff,Tax Exempt 501,Tax Exempt 23701,Tax Exempt 214,Tax Exempt,Tax Exempt Not Applicable,Religious Denomination,Religious Classification,Director/Principal Officer Salutation,Director/Principal Officer First Name,Director/Principal Officer Last Name,Director/Principal Officer Title,Director/Principal Officer Email,Custodian of Records Salutation,Custodian of Records First Name,Custodian of Records Last Name,Custodian of Records Email
237261,Alameda,01611766140461,ILM Academy,42412 Albrae Street,Fremont,CA,94538,no data,no data,no data,no data,510,936,1572,principal@theilmacademy.com,no data,Fremont Unified,Mrs.,Huma,Bokharey,Principal,principal@theilmacademy.com,Coeducational,Day Only,K,8,No,4,13,29,17,28,34,24,14,13,8,6,0,0,0,0,0,0,173,No,0,14,2,2,3,Yes,no data,no data,no data,no data,ISLM,Religious,Mrs.,Huma,Bokharey,Principal,principal@theilmacademy.com,Mrs.,Wahida,Lambe,officestaff@theilmacademy.com
237758,Alameda,01613096157481,Mission Hills School,2330 Pomar Vista Avenue,Castro Valley,CA,94546,2330 Pomar Vista Avenue,Castro Valley,CA,94546,510,317,8627,lnigam@mhmschool.org,akaya@mhmschool.org,San Lorenzo Unified,Mrs.,Lata,Nigam,Administrator,lnigam@mhmschool.org,Coeducational,Day Only,K,5,No,4,9,46,22,13,3,4,0,0,0,0,0,0,0,0,0,0,88,No,0,6,4,1,2,No,No,No,No,Yes,no data,Non-religious,Mrs.,Ayse,Kaya,Director,akaya@mhmschool.org,Mrs.,Lata,Nigam,lnigam@mhmschool.org
237541,Alameda,01612597099518,Julia Morgan School for Girls,"5000 MacArthur Boulevard, PMB 9966",Oakland,CA,94613,no data,no data,no data,no data,510,632,6000,pmaycroft@juliamorganschool.org,no data,Oakland Unified,Ms.,Sandra,Luna,Head of School,sluna@juliamorganaschool.org,Girls Only,Day Only,6,8,No,10,14,0,0,0,0,0,0,47,42,40,0,0,0,0,0,0,129,No,0,10,4,5,6,Yes,no data,no data,no data,no data,no data,Non-religious,Ms.,Sandra,Luna,Head of School,no data,Ms.,Laurie,Rothermel,no data
237542,Alameda,01611926972871,St. Bede Catholic School,26910 Patrick Avenue,Hayward,CA,94544,no data,no data,no data,no data,510,782,3444,ngalindo@csdo.org,no data,Hayward Unified,Fr.,Seamus,Farrell,Other,no data,Coeducational,Day Only,K,8,No,4,14,30,24,19,26,31,28,27,30,33,0,0,0,0,0,0,248,No,0,11,2,3,11,Yes,no data,no data,no data,no data,CATH,Religious,Mr.,Lisa,Greco,Principal,lgreco@csdo.org,Mrs.,Sue,Barton,sbarton@csdo.org
237544,Alameda,01611196973077,St. Philip Neri Elementary,1335 High Street,Alameda,CA,94501,no data,no data,no data,no data,510,521,0787,mcarter@csdo.org,no data,Alameda Unified,Mrs.,Jessica,Murray,Principal,jmurray@csdo.org,Coeducational,Day Only,K,8,No,4,14,38,29,25,28,20,29,28,23,33,0,0,0,0,0,0,253,No,0,15,2,1,14,Yes,no data,no data,no data,no data,CATH,Religious,Mrs.,Jessica,Murray,Principal,jmurray@csdo.org,Mrs.,Myra,Keast,mkeast@csdo.org
237001,Alameda,01611196141212,Kingdom Builder private school,"1905 Seminary Avenue, Suite 1",Oakland,CA,94621,no data,no data,no data,no data,510,927,7919,thelord763@gmail.com,no data,Alameda County Office of Education,Mr.,Darnell,Watts,Head of School,thelord763@gmail.com,Coeducational,Day Only,K,12,No,5,16,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,6,No,0,1,0,1,0,No,No,No,No,Yes,EVAN,Religious,Ms.,Debra,Ross,Principal,thelord763@gmail.com,Mr.,Darnell,Watts,thelord763@gmail.com
237051,Alameda,01612426138648,Mission Hills Middle School,250 Tamarack Drive,Union City,CA,94587,250 Tamarack Drive,Union City,CA,94587,510,493,2189,lnigam@mhmschool.org,akaya@mhmschool.org,New Haven Unified,Mrs.,Lata,Nigam,Administrator,lnigam@mhmschool.org,Coeducational,Day Only,K,8,No,4,13,80,64,52,42,44,60,53,44,43,0,0,0,0,0,0,482,No,0,29,8,5,7,No,No,No,No,Yes,no data,Non-religious,Mrs.,Ayse,Kaya,Director,akaya@mhmschool.org,Mrs.,Lata,Nigam,lnigam@mhmschool.org
237985,Alameda,01611926965909,All Saints Catholic School,22870 Second Street,Hayward,CA,94541,no data,Hayward,no data,94541,510,582,1910,allsaintshayward@comcast.net,no data,Hayward Unified,Mrs.,Rosanne,Esplanada,Administrator,resplanada@csdo.org,Coeducational,Day Only,K,8,No,4,13,37,25,22,19,25,19,19,31,32,0,0,0,0,0,0,229,No,0,11,2,4,6,Yes,no data,no data,no data,no data,CATH,Religious,Mrs.,Jennifer,Diaz,Principal,jdiaz@csdo.org,Ms.,Susan,Porter,sporter@csdo.org
237786,Alameda,01751016143788,Stratford School,4576 Willow Road,Pleasanton,CA,94588,no data,no data,no data,no data,925,737,0001,pls@stratfordschools.com,no data,Pleasanton Unified,Mr.,Sanny,Figueroa,Head of School,sfigueroa@stratfordschools.com,Coeducational,Day Only,K,8,No,5,12,90,60,56,45,44,38,22,6,9,0,0,0,0,0,0,370,No,0,48,9,5,0,No,No,No,No,Yes,no data,Non-religious,Mr.,Sanny,Figueroa,Head of School,sfigueroa@stratfordschools.com,Mr.,Sanny,Figueroa,sfigueroa@stratfordschools.com
237549,Alameda,01612756972632,Corpus Christi Elementary,One Estates Drive,Piedmont,CA,94611,no data,no data,no data,no data,510,530,4056,kmurphy@csdo.org,no data,Piedmont City Unified,Ms.,Kathleen,Murphy,Principal,kmurphy@csdo.org,Coeducational,Day Only,K,8,No,5,14,24,24,28,31,28,31,32,31,32,0,0,0,0,0,0,261,No,0,13,8,3,16,Yes,Yes,Yes,no data,no data,CATH,Religious,Ms.,Kathleen,Radecke,Superintendent,kradecke@csdo.org,Ms.,Kelsey,Christi,officesecretary@corpuschristischool.com
237301,Alameda,01612596994727,Raskob Learning Institute and Day School,3520 Mountain Boulevard,Oakland,CA,94619,no data,no data,no data,no data,510,436,1275,benari@hnu.edu,no data,Oakland Unified,Ms.,Edith,Ben Ari,Executive Director,benari@hnu.edu,Coeducational,Day Only,3,8,No,8,15,0,0,0,5,4,17,18,17,18,0,0,0,0,0,0,79,No,0,9,0,5,15,Yes,no data,no data,no data,no data,no data,Non-religious,Ms.,Edith,Ben Ari,Executive Director,no data,Ms.,Patricia,Barton,barton@hnu.edu
237310,Alameda,01612597077878,"Spectrum Center, Oakland Campus",6325 Camden Street,Oakland,CA,94605,no data,no data,no data,no data,510,729,6384,rjohnson@spectrumschools.com,no data,Oakland Unified,Ms.,Rain,Johnson,Director,rjohnson@spectrumschools.com,Coeducational,Day Only,K,12,Yes,9,21,0,0,0,0,2,2,1,2,5,4,4,7,4,0,20,51,Yes,2,7,0,2,34,No,No,No,No,Yes,no data,Non-religious,Ms.,Rain,Johnson,Director,rjohnson@spectrumschools.com,Ms.,Rain,Johnson,rjohnson@spectrumschools.com
237862,Alameda,01611926972970,St. Joachim's Elementary,21250 Hesperian Boulevard,Hayward,CA,94541,no data,no data,no data,no data,510,783,3177,aseishas@csdo.org,no data,Hayward Unified,Mr.,Armond,Seishas,Principal,aseishas@csdo.org,Coeducational,Day Only,K,8,No,5,14,36,36,34,36,35,34,35,36,36,0,0,0,0,0,0,318,No,0,11,0,1,22,Yes,no data,no data,no data,no data,CATH,Religious,Mrs.,Kathleen,Radecke,Superintendent,kradecke@csdo.org,Mrs.,Sandra,Garzon,sgarzon@csdo.org
237337,Alameda,01611767103799,Alsion Montessori Middle/High,750 Witherly Lane,Fremont,CA,94539,PO Box 3296,Fremont,no data,94539,510,445,1127,info@alsion.org,mrjoey@alsionschool.org,Fremont Unified,Mr.,Joseph,Morrison,Head of School,mrjoey@alsionschool.org,Coeducational,Day Only,7,12,Yes,11,18,0,0,0,0,0,0,0,15,10,16,7,12,4,0,0,64,Yes,6,7,1,1,1,Yes,Yes,no data,no data,no data,no data,Non-religious,Mr.,Eron,Bringhurst,Other,eronb@pacbell.net,Mr.,Joseph,Morrison,mrjoey@alsionschool.org
238034,Alameda,01611766152276,BASIS Independent Fremont,3300 Kearney Street,Fremont,CA,94538,no data,no data,no data,no data,510,573,3435,ashley.leyba@basisindependent.com,no data,Fremont Unified,Dr.,Ashley,Leyba,Head of School,no data,Coeducational,Day Only,K,7,No,4,12,27,50,48,50,25,25,26,50,0,0,0,0,0,0,0,301,No,0,38,0,20,0,No,No,No,No,Yes,no data,Non-religious,Dr.,Ashley,Leyba,Head of School,ashley.leyba@basisindependent.com,Mrs.,Anne,Coackley,anne.coackley@basisindependent.com
237640,Alameda,01612596932925,Head-Royce School,4315 Lincoln Avenue,Oakland,CA,94602,no data,no data,no data,no data,510,531,1300,cland@headroyce.org,mfahey@headroyce.org,Oakland Unified,Ms.,Crystal,Land,Head of School,cland@headroyce.org,Coeducational,Day Only,K,12,Yes,5,18,43,40,39,41,41,41,92,89,94,96,99,87,92,0,0,894,Yes,83,94,11,27,26,Yes,no data,no data,no data,no data,no data,Non-religious,Mr.,Jerry,Mullaney,Administrator,jmullaney@headroyce.org,Mr.,Jerry,Mullaney,jmullaney@headroyce.org
237652,Alameda,01611766909840,Fremont Christian School,4760 Thornton Avenue,Fremont,CA,94536,no data,no data,no data,no data,510,744,2241,tmeyer@fremontchristian.com,tbean@fremontchristian.com,Fremont Unified,Dr.,Tricia,Meyer,Head of School,tmeyer@fremontchristian.com,Coeducational,Day Only,K,12,Yes,4,19,44,34,46,33,50,36,43,44,38,43,47,55,51,0,0,564,Yes,58,48,1,7,5,Yes,no data,no data,no data,no data,AG,Religious,Rev.,Terry,Inman,President,no data,Ms.,Danielle,Gasper,dgasper@fremontchristian.com
238672,Alameda,01612596144950,Mentoring Academy,5951B  College Avenue,Oakland,CA,94618,no data,no data,no data,no data,510,345,3000,JohnMuster@MentoringAcademy.org,Admin@MentoringAcademy.org,Oakland Unified,Dr.,John,Muster,Director,johnmuster@mentoringacademy.org,Coeducational,Day Only,9,12,Yes,13,18,0,0,0,0,0,0,0,0,0,6,12,10,4,0,2,34,Yes,5,4,4,3,2,Yes,no data,no data,no data,no data,no data,Non-religious,Dr.,John,Muster,Director,johnmuster@mentoringacademy.org,Ms.,Jean,Karavidas,jeankaravidas@mentoringacademy.org
238313,Alameda,01612596967533,St. Theresa School,4850 Clarewood Drive,Oakland,CA,94618,no data,Oakland,no data,94618,510,547,3146,v_young@sttheresaschool.org,j_koneffklatt@sttheresaschool.org,Oakland Unified,Mrs.,Judith A.,KoneffKlatt,Principal,j_koneffklatt@sttheresaschool.org,Coeducational,Day Only,K,8,No,5,13,26,20,22,27,23,32,25,27,31,0,0,0,0,0,0,233,No,0,19,2,1,15,Yes,no data,no data,no data,no data,CATH,Religious,Mrs.,Judith A,KoneffKlatt,President,j_koneffklatt@sttheresaschool.org,Mrs.,Vera,Young,v_young@sttheresaschool.org
237971,Alameda,01612596995542,Redwood Day School,3245 Sheffield Avenue,Oakland,CA,94602,no data,no data,no data,no data,510,534,0800,jloeser@rdschool.org,no data,Oakland Unified,Mr.,John,Loeser,Head of School,jloeser@rdschool.org,Coeducational,Day Only,K,8,No,5,14,32,42,31,38,32,36,73,63,60,0,0,0,0,0,0,407,No,0,3,36,11,37,Yes,no data,no data,no data,no data,no data,Non-religious,Ms.,Cheryl,Ting,Administrator,cting@rdschool.org,Ms.,Jill,Nesbitt,jnesbitt@rdschool.org
238388,Alameda,01612596141048,"The Renaissance International School, Inc.",3650 Dimond Avenue,Oakland,CA,94602,no data,no data,no data,no data,510,531,8566,info@therenaissanceschool.org,no data,Oakland Unified,Ms.,Leslie,Hites,Head of School,leslieh@therenaissanceschool.org,Coeducational,Day Only,K,9,No,5,14,14,0,0,0,0,0,0,0,0,0,0,0,0,51,6,71,No,0,9,5,2,2,No,No,No,No,Yes,no data,Non-religious,Ms.,Leslie,Hites,Head of School,leslieh@therenaissanceschool.org,Ms.,Renee,Hites,reneeh@therenaissanceschool.org
238626,Alameda,01612596133722,LAMBO Academy International,"388  9th Street, Suite #183",Oakland,CA,94607,"4541 Loch Ln, San Leandro, CA. 94578",4541 Loch Ln,CA,94578,415,754,3889,Admin@LAMBO.School,no data,Oakland Unified,Br.,Martin,Bloom,President,MBloom@KIDRONmissions.org,Coeducational,Day Only,9,12,Yes,14,17,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,6,Yes,2,1,1,1,0,Yes,no data,no data,no data,no data,REF,Religious,Rev.,Augusta,Chan,Principal,Dr@EdCoachPhD.com,Dr.,Augusta,Chan,Dr@EdCoachPhD.com
239317,Alameda,01612596960694,St. Paul's Episcopal,116 Montecito Avenue,Oakland,CA,94610,no data,Oakland,CA,94610,510,285,9600,cfairless@spes.org,nbrooks@spes.org,Oakland Unified,Ms.,Christine,Fairless,Director,cfairless@spes.org,Coeducational,Day Only,K,8,No,5,14,35,31,33,35,38,46,54,54,55,0,0,0,0,0,0,381,No,0,41,2,8,6,Yes,no data,no data,no data,no data,EPIS,Religious,Mr.,Josh,Stern,Head of School,jstern@spes.org,Ms.,Laura,Lance,llance@spes.org
238833,Alameda,01612596138184,Escuela Bilingüe Internacional,410 Alcatraz Avenue,Oakland,CA,94609,no data,no data,no data,no data,510,653,3324,jfulk@ebinternacional.org,no data,Oakland Unified,Mr.,Jon,Fulk,Head of School,jfulk@ebinternacional.org,Coeducational,Day Only,K,8,No,4,14,45,41,40,36,40,23,23,23,19,0,0,0,0,0,0,290,No,0,29,3,13,46,Yes,no data,no data,no data,no data,no data,Non-religious,Mr.,Jon,Fulk,Head of School,gcostas@ebinternacional.org,Mrs.,Gloria,Costas,gcostas@ebinternacional.org
239358,Alameda,01611506146716,The Montessori Giving Tree,1914 Grove way Rear,Castro Valley,CA,94546,no data,no data,no data,no data,510,282,8375,tmgivingtree@ymail.com,no data,Castro Valley Unified,Ms.,Tasha,Walker,Head of School,tmgivingtree@ymail.com,Coeducational,Day Only,K,6,No,5,12,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,6,No,0,1,0,1,0,No,No,No,No,Yes,no data,Non-religious,Ms.,Josephine,Walker,Executive Director,tmgivingtree@ymail.com,Ms.,Ruthanne,Dal Cielo,tmgivingtree@ymail.com
239115,Alameda,01750936995641,Fountainhead Montessori School,6670 Amador Plaza Road,Dublin,CA,94568,no data,Dublin,no data,94568,925,820,1343,info@fms.org,no data,Dublin Unified,Ms.,Shandy,Cole,Executive Director,shandy@fms.org,Coeducational,Day Only,K,6,No,4,12,30,12,6,2,2,0,1,0,0,0,0,0,0,0,0,53,No,0,10,2,2,0,Yes,no data,no data,no data,no data,no data,Non-religious,Ms.,Jo Anne,Camara,Director,shandy@fms.org,Ms.,Shandy,Cole,shandy@fms.org
239524,Alameda,01611766151823,Valor Academy,45819 Bridgeport Place,Fremont,CA,94539,no data,no data,no data,no data,510,573,4556,Rachelhaskin@gmail.com,no data,Fremont Unified,Mrs.,Rachel,Haskin,Administrator,rachelhaskin@gmail.com,Coeducational,Day Only,K,12,No,5,16,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,6,No,0,1,0,1,0,No,No,No,No,Yes,LDS,Religious,Mrs.,Rachel,Haskin,Administrator,rachelhaskin@gmail.com,Mrs.,Rachel,Haskin,rachelhaskin@gmail.com
239754,Alameda,01611766972731,Holy Spirit Elementary,3930 Parish Avenue,Fremont,CA,94536,no data,no data,no data,no data,510,793,3553,holyspiritschool@csdo.org,no data,Fremont Unified,Mrs.,Holly,Marsh,Principal,hmarsh@csdo.org,Coeducational,Day Only,K,8,No,5,14,32,36,22,29,34,17,30,32,23,0,0,0,0,0,0,255,No,0,12,1,1,14,Yes,no data,no data,no data,no data,CATH,Religious,Mrs.,Holly,Marsh,Principal,hmarsh@csdo.org,Mrs.,Donna,Plaza,dplaza@csdo.org
239570,Alameda,01612596150544,The Pear Tree Community School,8945 Golf Links Road,Oakland,CA,94605,Palmera Ct,Oakland,CA,94605,510,915,1070,Info@peartreecs.com,no data,Oakland Unified,Ms.,Michele,Hamilton,Director,Info@peartreecs.com,Coeducational,Day Only,K,4,No,5,10,16,16,6,6,6,0,0,0,0,0,0,0,0,0,0,50,No,0,6,0,1,1,No,No,No,No,Yes,no data,Non-religious,Ms.,Michele,Hamilton,Director,Info@peartreecs.com,Ms.,Michele,Hamilton,Info@peartreecs.com
239986,Alameda,01611436972723,Berkwood Hedge School,1809 Bancroft Way,Berkeley,CA,94703,no data,no data,no data,no data,510,883,6990,Administration@berkwood.org,businessoffice@berkwood.org,Berkeley Unified,Mr.,Stephen,Lawrence,Other,BusinessOffice@Berkwood.org,Coeducational,Day Only,K,5,No,5,11,14,17,21,16,19,19,0,0,0,0,0,0,0,0,0,106,No,0,8,15,5,3,Yes,no data,no data,no data,no data,no data,Non-religious,Mrs.,Love,Weinstock,Head of School,Love@Berkwood.org,Mrs.,Debbie,Lloyd,Debbie@Berkwood.org
240009,Alameda,01612346972921,St. Edward Parish,5788 Thornton Avenue,Newark,CA,94560,no data,no data,no data,no data,510,793,7242,kmccall@csdo.org,lshahab@csdo.org,Newark Unified,Sr.,Carolyn Marie,Monahan,Principal,cmonahan@csdo.org,Coeducational,Day Only,K,8,No,5,14,29,26,23,27,17,14,27,26,26,0,0,0,0,0,0,215,No,0,13,1,1,15,Yes,no data,no data,no data,no data,CATH,Religious,Mrs.,Kathleen,Radecke,Superintendent,kradecke@csdo.org,Sr.,Carolyn Marie,Monahad,cmonahan@csdo.org
238976,Alameda,01751017098585,Lighthouse Baptist School,118 Neal Street,Pleasanton,CA,94566,no data,no data,no data,no data,925,846,7220,ruby.chan@lbceastbay.com,no data,Pleasanton Unified,Mrs.,Carol,Bryson,Principal,carol.bryson@lbceastbay.com,Coeducational,Day Only,K,12,Yes,5,18,2,3,3,2,4,1,0,1,2,1,1,0,0,0,0,20,Yes,5,3,0,0,1,Yes,no data,no data,no data,no data,BAPT,Religious,Mr.,Bill,Bryson,President,pastor@lbceastbay.com,Mrs.,Ruby,Chan,ruby.chan@lbceastbay.com
239164,Alameda,01611766142459,Averroes High School,43174 Osgood Road,Fremont,CA,94539,no data,no data,no data,no data,510,580,4566,info@averroesinstitute.com,no data,Fremont Unified,Mrs.,Reem,Bilbeisi,Principal,reem@averroesinstitute.com,Coeducational,Day Only,9,12,Yes,14,17,0,0,0,0,0,0,0,0,0,20,16,10,8,0,0,54,Yes,3,5,2,2,3,Yes,no data,no data,no data,no data,ISLM,Religious,Mrs.,Reem,Bilbeisi,Principal,reem@averroesinstitute.com,Mrs.,Reem,Bilbeisi,info@averroesinstitute.com
239166,Alameda,01611196204697,Coastline Christian Schools,1801 North Loop Road,Alameda,CA,94502,no data,no data,no data,no data,510,522,0200,office@ccs-rams.org,no data,Alameda Unified,Mr.,Edward,Yue,Principal,EdwardYue@ccs-rams.org,Coeducational,Day Only,K,8,No,4,14,41,45,34,49,33,34,29,22,27,0,0,0,0,0,0,314,No,0,27,0,3,39,Yes,no data,no data,no data,no data,INDP,Religious,Mr.,Edward,Yue,Principal,EdwardYue@ccs-rams.org,Mrs.,Sandy,Hall,SandyHall@ccs-rams.org
